26282-11427700, -48.86254644, -1.73663452
26282-11427766, -48.86257923, -1.73681688
26282-11427767, -48.86259512, -1.73699543
26282-11427768, -48.86261918, -1.73717383
21642-10922332, -48.87375635, -1.73580332
21642-12522699, -48.87385142, -1.73601119
21642-12522700, -48.87396789, -1.73627252
21642-12522703, -48.87361137, -1.73548498
21642-12522708, -48.87348643, -1.73524317
21642-12522712, -48.87328566, -1.73480000
21642-12522717, -48.87317744, -1.73455659
25323-11271805, -49.00086673, -1.88963316
25323-11272287, -49.00099945, -1.88910515
25323-11271619, -48.96258351, -1.97397542
25323-11272971, -48.96283069, -1.97381390
25323-11273975, -48.96247704, -1.97248622
25323-11272565c, -48.96235389, -1.97226158
25323-11273971, -48.96168293, -1.97119393
25323-11273969, -48.96155682, -1.97094585
25323-11271958, -48.96178256, -1.96930493
25323-11272790, -48.96162807, -1.96901988
25323-11270851, -48.89367040, -1.91089026
25323-11274066, -48.89432175, -1.91144609
25323-11272220, -48.94063819, -1.96697735
25323-11274016, -48.94076530, -1.96693963
25323-11272046, -48.96575270, -1.97784987
25323-11272044, -48.96600939, -1.97771922
25323-11270892, -48.96629639, -1.97756542
25324-11272994, -48.96870686, -1.97951772
25324-11273213, -48.96895880, -1.97937995
25324-11273782, -48.96844065, -1.97964955
25324-11273861, -48.96774436, -1.98002113
25324-11273784, -48.96797847, -1.97989404
25323-11271698, -48.80211820, -1.89855323
25323-11273038, -48.80177290, -1.89826405
25323-11270742, -48.80108230, -1.89768571
25323-11271156, -48.80039172, -1.89710736
25323-11270740, -48.79970112, -1.89652902
25323-11272194, -48.79935882, -1.89623627
25323-11272609, -48.79870374, -1.89568566
25323-11273036, -48.79641465, -1.89358448
25323-11272607, -48.79606123, -1.89330541
25323-11270736, -48.79570781, -1.89302635
25323-11270738, -48.79535439, -1.89274729
25323-11271161, -48.79277540, -1.89064180
25323-11271163, -48.79241064, -1.89037793
25323-11270749, -48.79204588, -1.89011406
25323-11273642, -48.79103584, -1.88938581
25323-11273643, -48.79041368, -1.88892473
25323-11273644, -48.78979152, -1.88846365
25323-11273944, -48.78901826, -1.88784429
25323-11272200, -48.78824530, -1.88722457
25323-11273044, -48.78747233, -1.88660486
25323-11271164, -48.78665883, -1.88604011
25323-11273045, -48.78404200, -1.88463897
25323-11272201, -48.78315422, -1.88420197
25323-11273046, -48.78228031, -1.88373749
25323-11272132c, -48.95332693, -1.97325972
25323-11270781, -48.95330185, -1.97290026
25323-11271720, -48.95327718, -1.97260658
25323-11273649, -48.95473091, -1.95930999
25323-11272222, -48.95488829, -1.95862394
25323-11272643, -48.95517859, -1.95797325
25323-11270786, -48.95555856, -1.95734712
25323-11270788c, -48.95672287, -1.95621475
25323-11274203, -48.95674596, -1.95596074
25323-11271726, -48.96115264, -1.95036509
25323-11272646, -48.96140899, -1.94949972
25323-11271195, -48.96379024, -1.94163442
25323-11270789, -48.96408789, -1.94079781
25323-11271731, -48.96436615, -1.93988765
25323-11274036, -48.96661450, -1.93317307
25323-11270852, -48.96695718, -1.93252319
25323-11272226, -48.96739361, -1.93174690
25323-11273072, -48.97339186, -1.93138775
25323-11271734, -48.97387097, -1.93157014
