25449-10684136, -46.49736482, -1.89475942
25449-10690617, -46.49786102, -1.89562262
25449-10691737, -46.49156666, -1.89570926
25449-10691738, -46.49148585, -1.89663571
25449-10691738c, -46.49148585, -1.89663571
25449-10684139, -46.49141930, -1.89741962
25449-10688996, -46.49143119, -1.89822491
25449-10682285, -46.49149773, -1.89907771
25449-10691739, -46.49122202, -1.89953143
25449-10690440, -46.49089016, -1.90007274
25449-10691740, -46.49045504, -1.90072984
25449-10684140, -46.49003363, -1.90154347
25449-10682286, -46.48963195, -1.90242478
25449-10683703, -46.48930157, -1.90328945
25449-10686682, -46.48897595, -1.90414938
25449-10686350, -46.59539130, -1.61128134
25449-10682263, -46.59479754, -1.61071486
25449-10684111, -46.59431631, -1.60977198
25449-10685352, -46.59427954, -1.60868666
25449-10688451, -46.59286273, -1.60612278
25449-10689135, -46.59238958, -1.60573625
25449-10686349, -46.59225458, -1.60505832
25449-10683016, -46.59226671, -1.60307408
25449-10683673, -46.59216076, -1.60255761
25449-10691161, -46.59150276, -1.60224721
25449-10691638, -46.63575615, -1.52939386
25449-10683674, -46.63533248, -1.52900126
25449-10685104, -46.58911305, -1.73699624
25449-12463558, -46.58852542, -1.73723462
25449-12463565, -46.58695521, -1.73401969
25449-12463566, -46.58679547, -1.73332475
25449-12463558c, -46.58852542, -1.73723462
25449-12463567, -46.58833885, -1.73651255
25449-12463568, -46.58816119, -1.73581757
25449-12463570, -46.58677927, -1.73257603
25449-12463571, -46.58675401, -1.73187239
25449-12463572, -46.58671091, -1.73113262
25449-12463563, -46.58667672, -1.73041092
11958-13224201, -47.34598234, -1.22259787
11958-6602843, -47.34580500, -1.22298907
25449-13143978, -46.38714410, -2.13248730
25449-13144031, -46.38675129, -2.13195407
25449-13143980, -46.38590335, -2.13074312
25449-13144032, -46.38533014, -2.13058809
25449-13144033, -46.37563123, -2.13067601
25449-13143921, -46.37531724, -2.13076524
25449-13143927, -46.36988585, -2.13059550
25449-13144035, -46.37043259, -2.13060617
25449-13143935, -46.36726257, -2.12659278
25449-13144036, -46.36704917, -2.12601501
25449-13144037, -46.36690743, -2.12545550
25449-13143937, -46.36611214, -2.12463250
25449-13144038, -46.36544172, -2.12401728
25449-10685723c, -46.65288177, -1.47237220
25449-12688400, -46.65245559, -1.47246115
25449-12688403, -46.65203470, -1.47225284
25449-12688404, -46.65172134, -1.47206278
25449-12688406, -46.65130053, -1.47180936
25449-12688407, -46.65084383, -1.47158294
