19642-11555872, -49.10159477, -3.83841997
19642-11555873, -49.10156929, -3.83869130
19642-11555874, -49.10143735, -3.83899502
13146-11555884, -49.10090178, -3.84070618
13146-11555883c, -49.10079873, -3.84068643
19642-11555883, -49.10084591, -3.84106104
19642-11555880, -49.10090178, -3.84070618
19642-11555881, -49.10074804, -3.84137779
19642-11555878, -49.10090178, -3.84070618
13146-8956142, -49.10043671, -3.84060327
13146-12804520, -49.09700127, -3.84487466
13146-12804521, -49.09680875, -3.84512366
13120-12881095, -48.81731933, -4.12846733
13120-12881106, -48.81694460, -4.12869389
13120-12881115, -48.81477237, -4.12793511
13120-12881117, -48.81429778, -4.12748027
13120-12770756, -48.97876280, -3.97742097
13120-12770936, -48.97837657, -3.97748262
13120-12770936c, -48.97837657, -3.97748262
13120-12770939, -48.97794297, -3.97735321
13120-12770942, -48.96017556, -4.00495727
13120-12770941, -48.96017706, -4.00435151
13120-12770945, -48.97750140, -3.97753295
13120-12770950, -48.97694219, -3.97795651
13120-12770954, -48.97641891, -3.97841633
13120-12770956, -48.97579623, -3.97902960
13120-11425720, -48.93291355, -3.94158790
13120-11425721, -48.93310179, -3.94074330
13120-11425723, -48.93395616, -3.93862555
13120-11425724, -48.93361416, -3.93855478
13120-11425724c, -48.93361416, -3.93855478
13120-11425725, -48.93264248, -3.93833538
13120-11425726, -48.93165262, -3.93818826
13120-11425727, -48.93067183, -3.93801404
13120-11425728, -48.92976303, -3.93784903
13120-11425729, -48.92883625, -3.93767494
13120-11425730, -48.92813436, -3.93756470
13120-11425731, -48.92733335, -3.93749941
13120-11425732, -48.92660450, -3.93737102
13120-11425734, -48.92615449, -3.93733373
13120-11425735, -48.92508277, -3.93752996
13120-11425734c, -48.92615449, -3.93733373
13120-11425736, -48.92640778, -3.93683711
13120-12881119, -48.81446113, -4.12692775
13120-12881120, -48.81490741, -4.12624991
13120-12881123, -48.81529566, -4.12559615
13137-12802813, -48.95741970, -3.48108420
13137-12802814, -48.95677998, -3.48149871
13137-12802817, -48.95608623, -3.48193118
13137-12802815, -48.95537451, -3.48235457
13137-12802819, -48.95387913, -3.48318310
13137-12802820, -48.95307747, -3.48358821
13137-12802821, -48.95230280, -3.48399337
13137-12802822, -48.95155519, -3.48437147
13137-12802823, -48.95079852, -3.48477667
13137-12802824, -48.95027609, -3.48503773
13137-12802825, -48.94999572, -3.48570617
13137-12802826, -48.94972433, -3.48638366
13120-12771700, -48.96047946, -4.00947862
13120-12771712, -48.95987675, -4.00927821
13120-12771715, -48.95920143, -4.00907820
13120-12771718, -48.95885799, -4.00985429
13120-12771721, -48.95838806, -4.01056737
13120-12771723, -48.95799016, -4.01128063
13120-12771725, -48.95776311, -4.01207568
13120-11424568, -48.97715739, -3.95377807
13120-11424569, -48.97660783, -3.95375058
13120-11424566, -48.97783192, -3.95385303
13120-11424570, -48.97748249, -3.95316504
13120-11424571, -48.97707927, -3.95238650
13120-11424571c, -48.97707927, -3.95238650
13120-11424572, -48.97643028, -3.95248691
13120-11424573, -48.97585446, -3.95258241
13120-11424574, -48.97687344, -3.95187968
13120-11424579, -48.97666998, -3.95039642
13120-11424581, -48.97697783, -3.94966482
13120-11424584, -48.97721336, -3.94905963
13120-12684401, -49.09782299, -3.85045415
13120-8860209, -49.09769670, -3.85080328
13120-13239696, -49.01316071, -4.01530477
13120-13239699, -49.01285497, -4.01515032
13120-13239701, -49.01216249, -4.01483218
13120-13239703, -49.01162341, -4.01436975
13137-12781376, -48.95170872, -3.77570291
13137-12781379, -48.95188415, -3.77494491
13137-12781383, -48.95209202, -3.77442086
13137-12781382, -48.96391643, -3.78973120
13137-12781386, -48.96417938, -3.78890907
13137-12781387, -48.95228682, -3.77351248
13137-12802828c, -48.94934738, -3.48650033
13137-12802829, -48.94931940, -3.48640086
13137-12802828, -48.94934738, -3.48650033
13137-12802830, -48.94888707, -3.48660786
13146-11245982, -49.09643560, -3.84735851
13146-8955990, -49.09634823, -3.84753774
13137-12782020, -48.97744380, -3.77268394
13137-12782088, -48.97767380, -3.77161507
13137-12782094, -48.97802618, -3.77106849
13109-8841423, -49.09745670, -3.85016328
