25430-10828961, -49.58821817, -7.33724276
25430-10834969, -49.58919947, -7.33738875
25430-10833884, -49.58730472, -7.33713190
25430-10823721, -49.58639256, -7.33700096
25430-10838931, -49.58185650, -7.33636760
25430-10838932, -49.58273578, -7.33649665
25430-10833883, -49.58094031, -7.33626069
25430-10841468, -49.57964075, -7.33599644
25430-10837599, -49.57846573, -7.33581084
25430-10837599c, -49.57846573, -7.33581084
25430-10833610, -49.57853203, -7.33603796
25430-10841467, -49.57747526, -7.33567676
25430-10832419c, -49.57501892, -7.33525265
25430-10828436, -49.57455664, -7.33553783
25430-10833252, -49.65004331, -7.72926452
25430-10840759, -49.65091377, -7.72947398
25430-10843196, -49.64924644, -7.72904064
25430-10833253, -49.64819769, -7.72883939
25430-10830673, -49.64728825, -7.72947851
25430-10825578, -49.64763166, -7.72922127
25430-10843174, -49.64472472, -7.72783566
25430-10825579, -49.64560600, -7.72841141
25430-10835697, -49.64642340, -7.72892665
25430-10833011, -49.69902502, -7.46876368
25430-10840410, -49.69963348, -7.46768339
25430-10830424, -49.73258224, -7.40238253
25430-10830423, -49.73207123, -7.40109797
25430-10832901, -49.73302670, -7.40349739
25430-10837887, -49.73280678, -7.40357418
25430-10824948, -49.56968761, -7.33494329
25430-10839958, -49.56864363, -7.33511633
25430-10839754, -49.56699196, -7.33534757
25430-10837306, -49.56650406, -7.33540669
25430-10839959, -49.56542131, -7.33555599
25430-10840004, -49.56424823, -7.33573519
25430-10832923c, -49.56313502, -7.33542807
25430-10827952, -49.56305192, -7.33433969
25430-10843072, -49.56295630, -7.33339190
25430-10836071, -49.56286671, -7.33265334
25430-10829898, -49.56559873, -7.31632323
25430-10834967, -49.56490756, -7.31541558
25430-10834962, -49.56932295, -7.32116160
25430-10834961, -49.56857722, -7.32020528
25430-10839955, -49.57078535, -7.32303448
25430-10834963, -49.57006998, -7.32210854
25430-10842539, -49.57222129, -7.32491918
25430-10834769, -49.57157964, -7.32406971
25430-10837906, -49.73626047, -7.36195704
25430-10837905, -49.73685420, -7.36164217
25430-10837904, -49.74045827, -7.36066466
25430-10837903, -49.74127307, -7.36054631
25430-10835571, -49.74071358, -7.35646725
25430-10831049, -49.73999642, -7.35590951
25430-10842960, -49.74177809, -7.35723033
25430-10840424, -49.74268140, -7.35784925
25430-10840420c, -49.74348398, -7.35839542
25430-10835751, -49.64140102, -7.71975037
25430-10840758, -49.64193437, -7.72063148
25430-10837588, -49.57429855, -7.32862853
25430-10834968, -49.57421326, -7.32749152
25430-10834968c, -49.57421326, -7.32749152
25430-10829657, -49.57517559, -7.32718708
25430-10832305, -49.57607703, -7.32687798
25430-10829901, -49.57442947, -7.32982860
25430-10834964, -49.57456433, -7.33114186
25430-10832419, -49.57501892, -7.33525265
25430-11327476, -49.57500680, -7.33515390
25430-10838025, -49.59935205, -7.32098073
25430-10825270, -49.60050376, -7.32088251
25430-10842537c, -49.55511076, -7.30875094
25430-10825882, -49.55400271, -7.30794438
25430-10832408, -49.55899841, -7.31140328
25430-10829896, -49.55804265, -7.31073695
25430-10829897, -49.56189710, -7.31336201
25430-10842538, -49.56090184, -7.31269054
25430-10826800, -49.69730992, -7.47367864
25430-10842865, -49.69752098, -7.47280010
25430-10833014, -49.69699238, -7.47443275
25430-10833014c, -49.69699238, -7.47443275
25430-10825232, -49.69637964, -7.47483343
25430-10835407, -49.69652653, -7.47573925
25430-10826797, -49.70950971, -7.45337391
25430-10835401, -49.70962937, -7.45194040
25430-10835402, -49.70982154, -7.45516312
25430-10840407, -49.70943935, -7.45598231
25430-10842863, -49.70908060, -7.45658632
25430-10837993, -49.70876306, -7.45711799
25430-10826798, -49.70757087, -7.45924844
25430-10837994, -49.70822876, -7.45806821
25430-10833013, -49.70247994, -7.46296130
25430-10835404, -49.70362918, -7.46238093
25430-10837991, -49.73020109, -7.40384744
25430-10842945, -49.72956809, -7.40491278
25430-10838728, -49.72929241, -7.40521747
25430-10837911, -49.73368983, -7.40514255
25430-10840438, -49.73327627, -7.40411020
25430-10825359, -49.73478163, -7.40790284
25430-10842969, -49.73441250, -7.40696816
25430-10827796, -49.73464768, -7.41639460
25430-10827794, -49.73479979, -7.41524915
25430-10838007, -49.73450507, -7.41709461
25430-10825360, -49.73411052, -7.41778990
25430-10826793, -49.73408438, -7.41879629
25430-10832902, -49.73404159, -7.41958349
25430-10842970, -49.73340937, -7.42315889
25430-10830427, -49.73356623, -7.42206295
25430-10832903, -49.73331192, -7.42422184
25430-10835586, -49.73304334, -7.42576088
25430-10840441, -49.73315980, -7.42511274
25430-10827935, -49.73287281, -7.42694814
25430-10835587, -49.73213006, -7.43024655
25430-10832904, -49.73235703, -7.42922251
25430-10827936, -49.73261492, -7.42805468
25430-10840432, -49.74531712, -7.38604829
25430-10830419, -49.74513740, -7.38547891
25430-10832899, -49.74426888, -7.38646367
25430-10842966, -49.74187552, -7.38739418
25430-10840434, -49.74319702, -7.38686384
25430-10842967, -49.74103176, -7.38772889
25430-10835580, -49.73991466, -7.38817673
25430-10832878, -49.72791359, -7.38551512
25430-10842944, -49.72711736, -7.38651216
25430-10827782, -49.73085936, -7.38673859
25430-10830343, -49.72997282, -7.38632846
25430-10830414, -49.73380080, -7.38815738
25430-10832896, -49.73295704, -7.38780146
25430-10830415, -49.73592696, -7.38898225
25430-10835574, -49.73485503, -7.38856269
25430-10842968, -49.73644929, -7.38956975
25430-10835575, -49.73696743, -7.38936469
25430-10830420, -49.73549177, -7.38995395
25430-10835581, -49.73434345, -7.39042300
25430-10835582, -49.73021721, -7.39208535
25430-10832900, -49.73128689, -7.39164632
25430-10827790, -49.73230653, -7.39124797
25430-10825357, -49.73335250, -7.39082877
25430-10840430, -49.73727398, -7.36452169
25430-10837907, -49.73682756, -7.36341344
25430-10840429, -49.73648188, -7.36254356
25430-10825231, -49.73827471, -7.35322033
25430-10842862, -49.73759717, -7.35252682
25430-10826792, -49.73862513, -7.35362125
25430-10835571c, -49.74071358, -7.35646725
25430-10830318, -49.74018694, -7.35560953
25430-10827784, -49.74470690, -7.35804514
25430-10837902, -49.74563076, -7.35749888
25430-10830416, -49.74662008, -7.35694291
25430-10825356, -49.74776991, -7.35629792
25430-10842962, -49.74968007, -7.35530064
25430-10840423, -49.75072135, -7.35478389
25430-10835576, -49.75154052, -7.35434107
25430-10827780, -49.75208065, -7.35405307
25430-10825352, -49.75269001, -7.35370765
25430-10832892, -49.75303896, -7.35344371
25430-10827779, -49.75391227, -7.35274398
25430-10832891, -49.76635818, -7.34964609
25430-10843685, -49.76665331, -7.34934946
25430-10835427, -49.76409992, -7.35140429
25430-10830354, -49.76442405, -7.35263441
25430-10837895, -49.76467384, -7.35373128
25430-10825349c, -49.76553743, -7.35537296
25430-10842956, -49.76664544, -7.35504472
25430-10827776, -49.77127125, -7.35121552
25430-10838730, -49.77167401, -7.35047615
25430-10827789, -49.74048486, -7.37355061
25430-10827788, -49.74004515, -7.37247340
25430-10827928, -49.73957931, -7.37135611
25430-10842965, -49.73873880, -7.36821946
25430-10827787, -49.73829347, -7.36713274
25430-10827786, -49.73768058, -7.36559517
25430-10832865, -49.74714100, -7.34806193
25430-10830337, -49.74632284, -7.34741090
25430-10843681, -49.74542103, -7.34666960
25430-10830357, -49.76196161, -7.34744366
25430-10835431, -49.76297850, -7.34701308
25430-10835429, -49.76080046, -7.34792042
25430-10832887, -49.75761826, -7.34926874
25430-10832889, -49.75872568, -7.34880212
25430-10835432, -49.75439029, -7.35064213
25430-10825350, -49.75533955, -7.35023585
25430-10837987, -49.73592849, -7.35068934
25430-10833010, -49.73512366, -7.34980186
25430-10840518, -49.76406865, -7.37822001
25430-10830341, -49.76291115, -7.37871971
25430-10840519, -49.76489339, -7.37787351
25430-10840520, -49.76585600, -7.37748930
25430-10840411, -49.76956380, -7.37591945
25430-10835570, -49.76846097, -7.37640030
25430-10825245, -49.80404738, -7.35311306
25430-10825915, -49.80467485, -7.35310126
25430-10835562, -49.80292910, -7.35386384
25430-10842930, -49.80138655, -7.35499059
25430-10842882, -49.80209484, -7.35444136
25430-10842932, -49.79890756, -7.35680332
25430-10837877, -49.79970616, -7.35620458
25430-10830338, -49.79688252, -7.35831901
25430-10837878, -49.79794971, -7.35750576
25430-10837876, -49.79416109, -7.36039101
25430-10835563, -49.79496445, -7.35979463
25430-10835565, -49.78956436, -7.36397160
25430-10837879, -49.79063155, -7.36308058
25430-10827927, -49.79302023, -7.36123253
25430-10842933, -49.78287862, -7.36897058
25430-10830340, -49.78395037, -7.36820509
25430-10842935, -49.78481315, -7.36758044
25430-10842934, -49.78591836, -7.36680258
25430-10835567, -49.78692850, -7.36608835
25430-10840517, -49.78792437, -7.36535762
25430-10842939, -49.77972699, -7.37085631
25430-10837881, -49.78033069, -7.37051923
25430-10835568, -49.78136460, -7.36995352
25430-10842936, -49.78228680, -7.36937130
25430-10840522, -49.68654248, -7.45987178
25430-10825267, -49.68684672, -7.45865337
25430-10827946, -49.68646643, -7.46104305
25430-10838021, -49.68644741, -7.46222727
25430-10830412, -49.74178625, -7.39217785
25430-10837899, -49.74271933, -7.39303072
25430-10832895, -49.74447534, -7.39466519
25430-10825354, -49.74538194, -7.39549551
25430-10842961, -49.74886497, -7.39872414
25430-10830362, -49.74945875, -7.39925974
25430-10825353, -49.75021655, -7.39997598
25430-10827781, -49.75102139, -7.40081601
25430-10832893, -49.75193762, -7.40177558
25430-10837897, -49.75251622, -7.40236306
25430-10840405, -49.75284538, -7.40268158
25430-10838572, -49.75317454, -7.40300009
25430-10835578, -49.74401125, -7.38260523
25430-10832898, -49.74361147, -7.38153403
25430-10830418, -49.74329372, -7.38074673
25430-10830417, -49.74288491, -7.37973553
25430-10835577, -49.74204753, -7.37762297
25430-10840431, -49.74167199, -7.37662202
25430-10837989, -49.74114365, -7.37532240
25430-10830361, -49.74031177, -7.37563354
25430-10830360, -49.73969143, -7.37598240
25430-10840421, -49.73899978, -7.37618511
25430-10843686, -49.73835565, -7.37624522
25430-10832876, -49.77633530, -7.37276560
25430-10835410, -49.77736920, -7.37219988
25430-10832875, -49.77848154, -7.37157524
25430-10827944, -49.69038485, -7.44858468
25430-10843069, -49.69050840, -7.44737885
25430-10830431, -49.69032408, -7.44917727
25430-10838010, -49.68879421, -7.44882406
25430-10838009, -49.68798409, -7.44863799
25430-10835591, -49.68955643, -7.45418540
25430-10830432, -49.68974420, -7.45340533
25430-10835592, -49.68880537, -7.45554758
25430-10827945, -49.68946611, -7.45509744
25430-10825266, -49.68712124, -7.45711209
25430-10840521, -49.68723713, -7.45657398
25430-10835604, -49.69347808, -7.41450811
25430-10828009, -49.69357054, -7.41336171
25430-10840446, -49.69335160, -7.41573028
25430-10840446c, -49.69335160, -7.41573028
25430-10843682, -49.69441971, -7.41616765
25430-10838019, -49.69323342, -7.41712998
25430-10825258, -49.69183398, -7.42098600
25430-10835560, -49.69113324, -7.42048602
25430-10837874, -49.69020520, -7.41980793
25430-10840447, -49.69259104, -7.42399939
25430-10825260, -49.69271458, -7.42285350
25430-10825261, -49.69247838, -7.42621415
25430-10830429, -49.69252315, -7.42506667
25430-10830577, -49.69423227, -7.40045455
25430-10828008, -49.69383665, -7.40076636
25430-10835468, -49.68475930, -7.35035671
25430-10842984, -49.68418887, -7.35009742
25430-10840469, -49.68327005, -7.34956363
25430-10842984c, -49.68418887, -7.35009742
25430-10831056, -49.68369925, -7.35114404
25430-10840470, -49.68535349, -7.35199973
25430-10833052, -49.68509918, -7.35134205
25430-10827967, -49.69709700, -7.35161557
25430-10830451, -49.69663683, -7.35082692
25430-10827968, -49.69764149, -7.35255687
25430-10838022, -49.68657814, -7.46343624
25430-10825268, -49.68859256, -7.46687136
25430-10832915, -49.68865264, -7.46608844
25430-10835433, -49.68830540, -7.46937655
25430-10827947, -49.68843465, -7.46867138
25430-10828962, -49.68699206, -7.47138434
25430-10840445, -49.68745666, -7.47091209
25430-10832953, -49.69363100, -7.40755550
25430-10843012, -49.69369370, -7.40680205
25430-10840560, -49.69365938, -7.41221373
25430-10843067, -49.69289941, -7.42916307
25430-10843066, -49.69274895, -7.42829823
25430-10840449, -49.69103352, -7.44161518
25430-10830430, -49.69113728, -7.44058278
25430-10840450, -49.69093110, -7.44272839
25430-10825264, -49.69083728, -7.44372892
25430-10840451, -49.69073320, -7.44494055
25430-10842953, -49.76633749, -7.35971890
25430-10842952, -49.76657193, -7.36056271
25430-10842951, -49.76692314, -7.36186819
25430-10827774, -49.76726922, -7.36276389
25430-10842949, -49.76763971, -7.36383208
25430-10840419, -49.77028807, -7.37065756
25430-10840418, -49.77069619, -7.37175794
25430-10840417, -49.77090616, -7.37280871
25430-10825347, -49.77146518, -7.37431162
25430-10842950, -49.76646180, -7.36203433
25430-10842950c, -49.76646180, -7.36203433
25430-10832884, -49.76532319, -7.36251855
25430-10830349, -49.76420924, -7.36298794
25430-10832872, -49.76013505, -7.37999963
25430-10827930, -49.75897280, -7.38048283
25430-10825390c, -49.69705012, -7.40344338
25430-10830578, -49.69636489, -7.40275556
25430-10830579, -49.69857940, -7.40533652
25430-10825363, -49.69780910, -7.40439146
25430-10840553, -49.67628683, -7.38194813
25430-10838578, -49.67638837, -7.38155144
25430-10840557, -49.67995508, -7.38882485
25430-10832945, -49.67932074, -7.38802554
25430-10825385, -49.68264265, -7.39208110
25430-10838049, -49.68186473, -7.39108190
25430-10840555, -49.68332528, -7.39298560
25430-10825387, -49.68550956, -7.39610671
25430-10843001, -49.68494763, -7.39536726
25430-10830371, -49.68667236, -7.39737110
25430-10843005c, -49.68990292, -7.40230940
25430-10843004, -49.68936086, -7.40331958
25430-10843011, -49.69191166, -7.40162082
25430-10828007, -49.69105192, -7.40176122
25430-10840558, -49.69300659, -7.40141034
25430-10840550, -49.70780956, -7.38408916
25430-10842995, -49.70898388, -7.38378867
25430-10827977, -49.70810822, -7.38516607
25430-10840550c, -49.70780956, -7.38408916
25430-10835596, -49.70760354, -7.38309255
25430-10842878, -49.70863435, -7.38727387
25430-10842996, -49.70835029, -7.38615782
25430-10825290, -49.70873268, -7.39058046
25430-10827978, -49.70949862, -7.39045180
25430-10842997, -49.70903636, -7.38881012
25430-10830335, -49.70883527, -7.38804200
25430-10830336, -49.70926749, -7.38963096
25430-10825291, -49.70710608, -7.39085078
25430-10828001, -49.70795735, -7.39070812
25430-10832940, -49.70587100, -7.39106083
25430-10828002, -49.70254279, -7.39158931
25430-10832941, -49.70352733, -7.39143249
25430-10832909, -49.69243228, -7.43124657
25430-10825263, -49.69292280, -7.43065489
25430-10827943, -49.69170541, -7.43473228
