27384-11684274, -48.96272219, -2.91015072
27384-13064163, -48.96270243, -2.91025196
27384-10411313, -48.96247705, -2.91134277
27384-11684277, -48.96231285, -2.91200294
27384-11684277c, -48.96231285, -2.91200294
27384-10412793, -48.96327649, -2.91209188
27384-11684278, -48.96223851, -2.91229064
27384-10413533, -48.96216483, -2.91256955
27385-8231886, -48.87828637, -2.91311188
27385-8232716, -48.87716637, -2.91270188
27385-8232716c, -48.87716637, -2.91270188
27385-8230996, -48.87699637, -2.91368188
27385-8231898, -48.88875638, -2.92683190
27385-8233851, -48.88762638, -2.92644190
27385-8231884, -48.85084633, -2.92818191
27385-8232714, -48.85087633, -2.92763191
27385-8232726, -48.85088633, -2.92708191
27385-8231908, -48.84872633, -2.92885141
27385-8233863, -48.84774632, -2.92887191
27385-8231340, -48.81143628, -2.92800191
27385-8231013, -48.81132627, -2.92706191
27385-8233847, -48.80670627, -2.92605191
27385-8233530, -48.80563550, -2.92606292
27385-8234005, -48.81061628, -2.92486190
27385-8231353, -48.81045627, -2.92382190
27385-8231354, -48.80961626, -2.91712189
27385-8232736, -48.80925627, -2.91642189
27385-8233381, -48.80917626, -2.91600190
27385-8231016, -48.80688627, -2.91260189
27385-8232294, -48.80598627, -2.91241188
27385-8231358c, -48.80006551, -2.91468087
27385-8233383, -48.80001626, -2.91341188
27385-8233443, -48.93358712, -2.93948215
27385-8231988, -48.93253645, -2.93913192
27385-8233085, -48.93224645, -2.94092193
27385-8232805, -48.93209135, -2.94165816
27385-8233442, -48.93185642, -2.94324166
27385-8234034, -48.93191645, -2.94385193
27385-8232104, -48.93215645, -2.94470188
27385-8231581, -48.92977645, -2.93939192
27385-8231781, -48.92888644, -2.94001193
27385-8232464, -48.92442644, -2.94045193
27385-8232825, -48.92332644, -2.94004193
27385-8231089, -48.92227644, -2.93963193
27385-8233113, -48.92121643, -2.93924192
27385-8233110, -48.91528642, -2.93181191
27385-8234050, -48.91552643, -2.93073191
27385-8231779, -48.91574681, -2.92967085
27385-8233109, -48.91625657, -2.92744184
27385-8233108, -48.91648631, -2.92621194
27385-8231778, -48.91302642, -2.93612192
27385-8231777, -48.91192642, -2.93571192
27385-8231342, -48.89087639, -2.92766190
27385-8232722, -48.88984575, -2.92725081
27385-8232720, -48.89025639, -2.92620191
27385-8233850, -48.89063639, -2.92521190
27385-8231890, -48.89056639, -2.91804189
27385-8233380, -48.88958639, -2.91760189
27385-8230995, -48.88853638, -2.91718189
27385-8230994, -48.88772638, -2.91686189
27385-8231889, -48.88685638, -2.91653189
27385-8230998, -48.88254638, -2.91486189
27385-8230997, -48.88149638, -2.91444189
27385-8232733, -48.80891627, -2.92912190
27385-8233682, -48.80784627, -2.92914190
27385-8231828, -48.96230649, -2.91139188
27385-8231366, -48.96209599, -2.91227340
27385-8232306, -48.96190718, -2.91315231
27385-8231926, -48.96168701, -2.91404231
27385-8231027, -48.96144575, -2.91490293
27385-8231925, -48.96127626, -2.91579168
27385-8231026, -48.96103648, -2.91664178
27385-8231026c, -48.96103648, -2.91664178
27385-8231924, -48.96046649, -2.91656189
27385-8232543, -48.95981649, -2.91642189
27385-8234020, -48.96087657, -2.91753234
27385-8231365, -48.96069931, -2.91818829
27385-8234053, -48.92023643, -2.93887193
27385-8233112c, -48.91596714, -2.93729131
27385-8232911, -48.91520648, -2.93833142
27385-8232007, -48.91600673, -2.92850141
27385-8232006, -48.90983642, -2.93495192
27385-8232261, -48.90879641, -2.93456191
27385-8231006, -48.84678695, -2.92887235
27385-8233675, -48.84582633, -2.92886191
27385-8233864, -48.84512633, -2.92887191
27385-8232728, -48.84423632, -2.92886191
27385-8233676, -48.83828631, -2.92881191
27385-8231008, -48.83707631, -2.92877191
27385-8233678, -48.82952629, -2.92886191
27385-8233056, -48.82870655, -2.92880173
27385-8233679, -48.82380629, -2.92878191
27385-8231009, -48.82264629, -2.92867191
27385-8233681, -48.81670620, -2.92888196
27385-8232731, -48.81553628, -2.92889190
27385-8233848, -48.80777627, -2.92605190
27385-8231014, -48.81027627, -2.92075190
27385-8233685, -48.81005626, -2.91962189
27385-8234006, -48.80769563, -2.91291152
27385-8231169, -48.96000635, -2.92105230
27385-11604097, -48.95992423, -2.92145078
27385-8232086c, -48.95961525, -2.92283271
27385-8232106, -48.95936649, -2.92276191
27385-8232086, -48.95961525, -2.92283271
27385-8233723, -48.95942581, -2.92375241
27385-8231168, -48.95921674, -2.92465206
27385-8231167, -48.95900529, -2.92550280
27385-8231799, -48.95821601, -2.92906123
27385-8234070, -48.95800487, -2.92994144
27385-8231794, -48.95654427, -2.93646184
27385-8233873, -48.95647572, -2.93679122
27385-8231130, -48.95634582, -2.93718186
27385-8234068, -48.95617715, -2.93818251
27385-8231102, -48.95610691, -2.93856327
27385-8233168, -48.95489578, -2.94408270
27385-8232089, -48.95478573, -2.94448370
27385-8231165, -48.95405632, -2.94749230
27385-8232495, -48.95401709, -2.94774361
27385-8231365c, -48.96069931, -2.91818829
27385-8232305, -48.96040241, -2.91807812
27385-8233693, -48.95903984, -2.91768759
27385-8233911, -48.95876381, -2.91760220
27385-8233070, -48.96004649, -2.91964189
27385-8233515, -48.95980649, -2.91959190
27385-8231592, -48.95842561, -2.92817290
27385-8232839, -48.95680576, -2.93533030
27385-8232469, -48.95673513, -2.93572244
27385-8231590, -48.95631625, -2.93752174
27385-8231104, -48.95622533, -2.93789204
27385-8233852, -48.88534638, -2.92559191
27385-8231899, -48.88389638, -2.92505190
27385-8231343, -48.88275638, -2.92463191
27385-8233670, -48.88160637, -2.92421190
27385-8231003, -48.87568637, -2.92709191
27385-8232724, -48.87481636, -2.92754190
27385-8233050, -48.87430636, -2.92823191
27385-8233051, -48.87374636, -2.92886191
27385-8231005, -48.87097636, -2.92901191
27385-8231902, -48.86986636, -2.92876191
27385-8232725, -48.86654635, -2.92807190
27385-8233853, -48.86546591, -2.92773250
27385-8232290, -48.86437635, -2.92747191
27385-8233672, -48.85457633, -2.92720190
27385-8231903, -48.85366634, -2.92722190
27385-8232753, -48.96053421, -2.91894272
27385-8233164, -48.95885649, -2.91938190
27385-8231662, -48.95860649, -2.91933189
27385-8232905, -48.95837611, -2.91928184
15604-11876996, -48.87479099, -3.22139337
15604-11876997, -48.87460890, -3.22245077
15604-11877000, -48.87517951, -3.22921450
15604-11877001, -48.87541120, -3.23026373
15604-11877004, -48.87456217, -3.22330051
15604-11877005, -48.87474880, -3.22438580
15604-11876999, -48.87472494, -3.22721553
15604-11877007, -48.87483124, -3.22800230
15604-11877009, -48.87566949, -3.23149382
15604-11877010, -48.87588303, -3.23261534
15604-11877002, -48.87590838, -3.23340194
15604-11877003, -48.87605007, -3.23446906
15604-11877011, -48.87549378, -3.23594243
15604-11877015, -48.87660517, -3.23570882
15604-11877015c, -48.87660517, -3.23570882
15604-11877016, -48.87750510, -3.23549373
16284-11065785, -48.67537608, -2.76387166
16284-11070142, -48.67543608, -2.76488167
16284-11063611, -48.67481607, -2.76576167
16284-11067097, -48.68492608, -2.75816166
16284-11063609, -48.68405608, -2.75854166
16284-11063593, -48.68676608, -2.75790166
16284-11064023, -48.68593608, -2.75803166
16284-11071741, -48.69128609, -2.76031166
16284-11071743, -48.69060610, -2.75981166
16284-11070070, -48.69397609, -2.76281166
16284-11070071, -48.69331610, -2.76214166
16284-11066673, -49.03700660, -2.74218163
16284-11071280, -49.03707660, -2.74324163
16284-11064478, -49.03803660, -2.74143162
16284-11063855, -49.03910661, -2.74137163
16284-11066674, -49.04439662, -2.74100162
16284-11064482, -49.04493661, -2.74106162
16284-11069716, -49.05895663, -2.73979163
16284-11062240, -49.05967663, -2.73911163
16284-11069718, -49.06578664, -2.73438162
16284-11066679, -49.06605664, -2.73509162
16284-11067360, -49.00474655, -2.72621160
16284-11064982, -49.00511655, -2.72616160
16284-11062942, -48.88081197, -2.76238210
16284-11068878, -48.88005637, -2.76221166
16284-11070278, -48.90951641, -2.72715160
16284-11064502, -48.90952641, -2.72670161
16284-11061972, -48.90477641, -2.72246160
16284-11064679, -48.90408640, -2.72173161
16284-11064677, -48.90120640, -2.71884160
16284-11068346, -48.90086303, -2.71850550
16284-11071809, -48.78565587, -2.69051141
16284-11063748, -48.78611627, -2.69077348
16284-11063353, -48.78103622, -2.69049155
16284-11063368, -48.77992622, -2.69099156
16284-11071722, -48.77602621, -2.69555156
16284-11063369, -48.77572622, -2.69655156
16284-11070052, -48.77193621, -2.69874157
16284-11061117, -48.77084621, -2.69841157
16284-11065743, -48.75611619, -2.69641156
16284-11062755, -48.75511619, -2.69667156
16284-11071575, -48.74634617, -2.69655157
16284-11068409, -48.74536617, -2.69696156
16284-11061106c, -48.74056617, -2.69913157
16284-11071890, -48.74056625, -2.69871814
16284-11061719, -48.74061617, -2.69794157
16284-11062749, -48.68715609, -2.67881154
16284-11070049, -48.68619609, -2.67904154
16284-11062750, -48.68500608, -2.67918154
16284-11070050, -48.68379608, -2.67928154
16284-11062751, -48.67937608, -2.67908154
16284-11068417, -48.67885607, -2.68008154
16284-11063358, -48.66938606, -2.68742155
16284-11062735, -48.66827606, -2.68786155
16284-11071747, -48.66187606, -2.75474165
16284-11071584, -48.66087605, -2.75467165
16284-11062666, -48.76490619, -2.52454131
16284-11067353, -48.76436649, -2.52368041
16284-11067353c, -48.76436649, -2.52368041
16284-11066164, -48.76472621, -2.52315041
16284-11071889, -48.76360620, -2.52369131
16284-11070346, -48.94280594, -2.78123288
16284-11810769, -48.94212043, -2.78160305
16284-11061366, -48.86187634, -2.71891160
16284-11070360, -48.86097753, -2.71930117
16284-11065848, -48.86023635, -2.71960159
16284-11068907, -48.85953753, -2.72005117
16284-11061365, -48.85887634, -2.72043160
16284-11061130, -48.70613612, -2.75913166
16284-11061148, -48.70640612, -2.75973166
16284-11070069, -48.70590612, -2.75846166
16284-11061145, -48.70697612, -2.75628165
16284-11070068, -48.70662612, -2.75711166
16284-11061174, -48.71411613, -2.73776163
16284-11071617, -48.71331612, -2.73732163
16284-11062786, -48.70774613, -2.73701163
16284-11068691, -48.70767660, -2.73624235
16284-11070150, -48.72610615, -2.75493165
16284-12480467, -48.72570032, -2.75495005
16284-11071752, -48.72659614, -2.75368165
16284-11068612, -48.72639614, -2.75435165
16284-11063604, -48.73976617, -2.74905164
16284-11071751, -48.73833616, -2.74955164
16284-11064037, -48.75088618, -2.74508163
16284-11061152, -48.74995618, -2.74542164
16284-11070116, -48.76102619, -2.74147163
16284-11068577, -48.75836619, -2.74239163
16284-11061166, -48.76938621, -2.73853163
16284-11063602, -48.76843621, -2.73885163
16284-11064872, -48.84051555, -2.73985540
16284-11070518, -48.83953817, -2.74010002
16284-11071959, -48.83785179, -2.74092659
16284-11067497, -48.83698843, -2.74133171
16284-11067496, -48.83869210, -2.74051494
16284-11069043, -48.84379830, -2.73647047
16284-11070517, -48.84301306, -2.73715676
16284-11065740, -48.65216604, -2.68743155
16284-11062739, -48.65114604, -2.68680155
16284-11060824, -48.83241630, -2.66329152
16284-11066131, -48.83284555, -2.66362253
16284-11063987, -48.83152333, -2.66272793
16284-11060829, -48.83168973, -2.66249754
16284-11071336, -48.83184883, -2.66227724
16284-11069788, -48.82947630, -2.66141151
16284-11062347, -48.82928630, -2.66161152
16284-11071976, -48.55781025, -2.72743549
16284-11063419, -48.55841284, -2.72738489
16284-11064802c, -48.55781268, -2.73273933
16284-11069058, -48.55744162, -2.73333629
16284-11067638, -48.55686939, -2.73650826
16284-11071975, -48.55646779, -2.73729074
16284-11071978, -48.55876362, -2.73308341
16284-11064802, -48.55781268, -2.73273933
16284-11070526, -48.55965957, -2.73339849
16284-11064803, -48.56046875, -2.73360233
16284-11061523, -48.56132539, -2.73394390
16284-11070459, -48.56512441, -2.73370316
16284-11065934, -48.56412948, -2.73383602
16284-11070460, -48.57058123, -2.73242787
16284-11067641, -48.56968770, -2.73275659
16284-11061530, -48.56884583, -2.73395839
16284-11064805, -48.56829429, -2.73453868
16284-11064804, -48.56782432, -2.73531451
16284-11067636, -48.57266321, -2.73115489
16284-11067642, -48.57193322, -2.73167549
16284-11061520, -48.57346990, -2.73069318
16284-11061531, -48.57433037, -2.73022601
16284-11064797, -48.57509178, -2.72983138
16284-11065927, -48.57594607, -2.72974094
16284-11063127, -48.57873566, -2.73033145
16284-11065925, -48.57788137, -2.72971412
16284-11067502, -48.57955508, -2.73044225
16284-11064809, -48.58050282, -2.73022365
16284-11070463, -48.58135342, -2.72990614
16284-11064810, -48.58227041, -2.72981805
16284-11061535, -48.58376281, -2.72987907
16284-11063121, -48.58319074, -2.72986575
16284-11071995, -48.60724076, -2.73388672
16284-11063161, -48.60706449, -2.73289446
16284-11070668, -48.60734587, -2.73486036
16284-11070539, -48.60747034, -2.73585940
16284-11071996c, -48.60864859, -2.74261499
16284-11071997, -48.60966784, -2.74261591
16284-11067512, -48.61148462, -2.74260703
16284-11068985, -48.61238492, -2.74259981
16284-11060769, -48.96525699, -2.88589204
16284-11065916, -48.96525201, -2.88558721
16284-11064508, -48.96522650, -2.88477184
16284-11065916c, -48.96525201, -2.88558721
16284-11066838, -48.96566149, -2.88559799
16284-11066758, -48.83137630, -2.66293151
16284-11064742, -48.83109630, -2.66270151
16284-11061512c, -48.83717069, -2.66772860
16284-11064581, -48.83701631, -2.66761152
16284-11070061, -48.60939736, -2.75407196
16284-11070524, -48.60933994, -2.75335074
16284-11070524c, -48.60933994, -2.75335074
16284-11065923, -48.60920750, -2.75235941
16284-11061518, -48.60843175, -2.74550902
16284-11065921, -48.60832916, -2.74455692
16284-11061578, -48.60820612, -2.74355223
16284-11063139, -48.60803218, -2.74170764
16284-11069081, -48.60794652, -2.74074465
16284-11063162, -48.60784292, -2.73973320
16284-11065952, -48.60774091, -2.73874111
16284-11071957, -48.84738217, -2.73273325
16284-11068974, -48.84666954, -2.73349278
16284-11063105, -48.84881008, -2.73122513
16284-11070516, -48.84809541, -2.73198272
16284-11067494, -48.84921344, -2.72926404
16284-11070515, -48.84902054, -2.73016800
16284-11064871, -48.85152731, -2.72696861
16284-11068973, -48.85058914, -2.72713953
16284-11063104, -48.85340140, -2.72670301
16284-11068972, -48.85248158, -2.72694019
16284-11071960, -48.83120105, -2.74080793
16284-11063108, -48.83138327, -2.74016212
16284-11071960c, -48.83120105, -2.74080793
16284-11066206, -48.83058636, -2.74065677
16284-11066061, -48.61496639, -2.74247802
16284-11064893, -48.61581766, -2.74250610
16284-11066067, -48.61680145, -2.74239479
16284-11061553, -48.61784994, -2.74245548
16284-11063141, -48.62273418, -2.74243394
16284-11070527, -48.62370606, -2.74242002
16284-11067514, -48.62756694, -2.74230888
16284-11063143, -48.62849139, -2.74225540
16284-11070470, -48.63136882, -2.74259419
16284-11070761, -48.63176025, -2.74308077
16284-11067526, -48.60251159, -2.71684324
16284-11065943, -48.60184380, -2.71630252
16284-11070543, -48.60549095, -2.71978345
