12786-12181646, -51.08565731, -6.74937595
12786-12181644, -51.08540061, -6.74943742
12786-12181643, -51.08497397, -6.74955012
16342-11120290, -50.92209768, -6.71331089
16342-11101668, -50.92113472, -6.71360449
16342-11117240c, -50.92306547, -6.71302289
16342-11104856, -50.92271374, -6.71222571
16342-11113970, -50.92229407, -6.71145548
16342-11117242, -50.92194581, -6.71079609
16342-11102272, -50.92142057, -6.71041461
16342-11102273, -50.92168587, -6.70995329
16342-11117243, -50.92390067, -6.71364041
16342-11107615, -50.92423977, -6.71455259
16342-11123459, -50.92454730, -6.71549206
16342-11117244, -50.92491672, -6.71668592
16342-11110865, -50.92527472, -6.71755426
16342-11120291, -50.92561923, -6.71862279
16342-11113971, -50.92595129, -6.71959224
16342-11123460, -50.92628681, -6.72063624
16342-11123460c, -50.92628681, -6.72063624
16342-11111234, -50.92678984, -6.72034904
16342-11123461, -50.92644507, -6.72125513
16342-11117245c, -50.92677254, -6.72241022
16342-11114378, -50.92660236, -6.72244048
16342-11117247c, -50.92773253, -6.72495282
16342-11102275, -50.92822282, -6.72455929
16342-11117247, -50.92773253, -6.72495282
16342-11113973, -50.92783346, -6.72568676
16342-11104858, -50.92844481, -6.72670516
16342-11104862c, -50.95480257, -6.75599884
16342-11120812, -50.95491150, -6.75635627
16342-11117254c, -50.95214102, -6.75680907
16342-11123824, -50.95225157, -6.75690290
16342-11117254, -50.95214102, -6.75680907
16342-11101670, -50.95132217, -6.75707199
25203-11114152, -51.63654592, -6.10802572
25203-11117310, -51.63599800, -6.10831282
25203-11123534, -51.63599800, -6.10831282
25203-11107849, -51.63561920, -6.10896004
25203-11120447, -51.63524040, -6.10960726
25203-11120449, -51.53167844, -6.15584555
25203-11110943, -51.53203786, -6.15494552
25203-11120451, -51.63454035, -6.11219156
25203-11120450, -51.63439847, -6.11296604
25203-11117394, -51.62917096, -6.12446236
25203-11120559, -51.62904043, -6.12509053
25203-11107879, -51.62904043, -6.12509053
25203-11107880, -51.53645712, -6.14597141
25203-11107881, -51.53746725, -6.14501199
25203-11114234, -51.62817745, -6.12765943
25203-11114233, -51.62794123, -6.12853256
25203-11117395, -51.53827774, -6.14457716
25203-11120561, -51.62794123, -6.12853256
25203-11101756, -51.53907872, -6.14416834
25203-11117396, -51.62723254, -6.13115195
25203-11114235, -51.62699632, -6.13202507
25203-11120563, -51.54077338, -6.14338141
25203-11120565, -51.54166344, -6.14328262
25203-11102113, -51.59631538, -6.15455813
25203-11111035, -51.59545498, -6.15428121
25203-11114174, -51.59545498, -6.15428121
25203-11107809, -51.56210027, -6.14427429
25203-11120575, -51.56295549, -6.14398175
25203-11120577, -51.59291457, -6.15333905
25203-11120576, -51.59207626, -6.15300097
25203-11111036, -51.56384776, -6.14412575
25203-11110978, -51.57816266, -6.14925560
25203-11110977, -51.57729764, -6.14899347
25203-11111039, -51.56952601, -6.14659473
25203-11114178, -51.57039307, -6.14684999
25203-11107815, -51.57458700, -6.14816675
25203-11120486, -51.57384912, -6.14790942
25203-11123606, -51.65838938, -6.03411895
25203-11117344, -51.65870646, -6.03434702
25203-11106032, -51.14694168, -5.58824234
25203-11117657, -51.14601644, -5.58837416
25203-11118767, -51.33870210, -6.77459598
25203-11102427, -51.33808026, -6.77446149
16342-11105621c, -51.06168914, -6.71885663
16342-11110972, -51.06199584, -6.71789046
16342-11105020, -51.06911864, -6.77788737
16342-11101388c, -51.06909869, -6.77772080
16342-11101390, -51.06910653, -6.77765297
16342-11110721, -51.06923687, -6.77768321
16342-11103279, -51.06572520, -6.78178252
16342-11114439, -51.06556149, -6.78123200
16342-11117340, -51.06369133, -6.76548969
16342-11107141, -51.06374810, -6.76575225
16342-11123820, -50.95397703, -6.70427932
16342-11110764, -50.95402578, -6.70448599
25203-11098932, -51.12997518, -6.75512098
25203-11098930, -51.13083744, -6.75517690
16342-11101759, -51.06560224, -6.77298770
16342-11109551, -51.06569338, -6.77332988
25203-11105046, -51.37728563, -6.24983400
25203-11123607, -51.37787816, -6.24984312
25203-11117341, -51.37879752, -6.24983898
25203-11120473, -51.37941889, -6.24982780
25203-11105047, -51.38002282, -6.24982733
25203-11120474, -51.38130759, -6.24983667
25203-11114221, -51.38177067, -6.24983602
25203-11114221c, -51.38177067, -6.24983602
25203-11109247, -51.38342734, -6.24984458
25203-11112505, -51.38345408, -6.24957698
25203-11123608, -51.38391501, -6.24957611
25203-11099784, -51.38439460, -6.24957855
25203-11107872, -51.41104432, -6.24994431
25203-11099785, -51.41159486, -6.24991412
25203-11123614, -51.41198501, -6.24995811
25203-11101749, -51.41293586, -6.24999544
25203-11114229, -51.41039460, -6.24998104
25203-11117393, -51.43070231, -6.24992211
25203-11105053, -51.43150125, -6.24989861
25203-11120483, -51.43201140, -6.25023129
25203-11120484, -51.43274156, -6.25084423
25203-11105054, -51.43422473, -6.25154279
25203-11111026, -51.43491181, -6.25167473
25203-11105055, -51.43588947, -6.25144277
25203-11101753, -51.43680411, -6.25127212
25203-11107877, -51.43755647, -6.25117081
25203-11105056, -51.43800994, -6.25012497
25203-11111027, -51.43841574, -6.25011105
25203-11114231, -51.43938430, -6.24998240
25203-11105057, -51.44017692, -6.24995673
