MNEMONICO;N_CIRCUITOS;COD_SUB;NOME_SUB;CONFIANCA;COMO;ALTERNATIVAS;EXEMPLOS_NO_DIAGRAMA
BAN;18;TBAN;ETT BANDEIRANTES;MEDIA;abreviacao (peso 1);MBAN|ETC METRO BANDEIRANTES;"LI BAN-TRA 1 ; LI BAN-TRA 2 ; LTA BAN-ITA 1"
PRI;16;TPRI;ETT PIRITUBA;MEDIA;abreviacao (peso 1);DPRI|ETD PIRITUBA / RPRI|ETR PIRITUBA;"LTA ANH-PRI 1 ; LTA ANH-PRI 2 ; LTA MFO-PRI 1"
SUL;16;TSUL;ETT SUL;ALTA;abreviacao (peso 1);;"LTA HB-SUL 1 ; LTA HB-SUL 2 ; LTA PI-SUL 1"
CAP;14;DCAP;ETD CAPUAVA;MEDIA;abreviacao (peso 1);CCAP|ECH CAPUAVA / DCAL|ETD CAPELA / BCAL|EBC CAPELA;"LTA BSA-CAP 1 ; LTA BSA-CAP 2 ; LTA CAP-MAU 1"
MFO;12;TMFO;ETT MILTON FORNASARO;MEDIA;abreviacao (peso 1);RMFO|ETR MILTON FORNARARO;"LTA MFO-CON 1 ; LTA MFO-CON 2 ; LTA MFO-PRI 1"
WIL;10;RWIL;ETR WILSON;ALTA;abreviacao (peso 1);;"LIG MOO-WIL 1 ; LIG MOO-WIL 2 ; LTA SUL-WIL 5"
ANH;8;TANH;ETT ANHANGUERA;MEDIA;abreviacao (peso 1);RANH|ETR ANHANGUERA / DANB|ETD ANHEMBI;"LTA ANH-CVE 1 ; LTA ANH-CVE 2 ; LTA ANH-MUT 1"
ESO;8;EXTERNA-EDGARD_DE_SOUZA;;ALTA;lido no diagrama: SE EDGARD DE SOUZA 88 kV (CTEEP);;"LTA ESO-MUT 1 ; LTA ESO-MUT 2 ; LTA ESO-PGO 1"
LES;8;TLES;ETT LESTE;ALTA;abreviacao (peso 1);;"LTA LES-CAP 1 ; LTA LES-CAP 2 ; LTA LES-CAP 3"
NOR;8;TNOR;ETT NORTE;MEDIA;abreviacao (peso 1);CNOR|ETC CENTER NORTE ERICSON / TNOD|ETT NORDESTE;"LTA LES-NOR 1 ; LTA LES-NOR 2 ; LTA NOR-ADE 1"
PSO;8;DPSO;ETD PAULA SOUZA;MEDIA;abreviacao (peso 1);RPSO|ETR PAULA SOUZA;"LTA PVI-PSO 1 ; LTA PVI-PSO 2 ; LTS CTR-PSO 1"
PI;7;DCPI;ETD CARAPICUIBA;MEDIA;abreviacao (peso 1);DRPI|ETD RIBEIRAO PIRES / BCPI|EBC CARAPICUIBA / BRPI|EBC RIBEIRAO PIRES;"LI PI-PED 1 ; LTA PI-BAN 1 ; LTA PI-BAN 2"
CVE;6;DCVE;ETD CASA VERDE;ALTA;abreviacao (peso 1);;"LTA ANH-CVE 1 ; LTA ANH-CVE 2 ; LTS ANH-CVE 1"
HB;6;UHBO;ETU HENRY BORDEN;ALTA;abreviacao (peso 4);;"LTA HB-PED 1 ; LTA HB-PED 2 ; LTA HB-SUL 1"
JAD;6;TJAD;ETT JANDIRA;ALTA;abreviacao (peso 1);;"LTA JAD-COT 1 ; LTA JAD-COT 2 ; LTA JAD-IVI 1"
VOL;6;OVOL;EOC VILA OLIVIA;ALTA;abreviacao (peso 1);BVWA|EBC VOLKSWAGEN / VOLK|ETC VOLKSWAGEN SBC;"LTA LES-VOL 1 ; LTA LES-VOL 2 ; LTA NOD-VOL 1"
RRF;6;TRRF;ETT RAMON REBERTE FILHO;ALTA;abreviacao (peso 1);;"LTA RRF-ADE 1 ; LTA RRF-ADE 2 ; LTA RRF-CRA 1"
CAM;6;DCAM;ETD CAMBUCI;ALTA;abreviacao (peso 1);DCPE|ETD CAMPESTRE;"LTS MRE-CAM 1 ; LTS MRE-CAM 2 ; LTS PSO-CAM 1"
ADE;5;RADE;ETR ADELINO;MEDIA;abreviacao (peso 1);BADE|EBC ADELINO;"LTA NOR-ADE 1 ; LTA NOR-ADE 2 ; LTA RRF-ADE 1"
MUT;4;EXTERNA-MUTINGA;;ALTA;"lido no diagrama: EOC MUTINGA; ausente da tabela SUB";;"LTA ANH-MUT 1 ; LTA ANH-MUT 2 ; LTA ESO-MUT 1"
ITA;4;DITA;ETD ITAIM;ALTA;abreviacao (peso 1);DITN|ETD ITAQUERUNA / DITP|ETD ITAPECERICA / DITR|ETD ITAQUERA;"LTA BAN-ITA 1 ; LTA BAN-ITA 2 ; LTS ITA-IBP 1"
SND;4;DSND;ETD SANTO ANDRE;MEDIA;abreviacao (peso 1);BSND|EBC SANTO ANDRE;"LTA CAP-SND 1 ; LTA CAP-SND 2 ; RAC COFAP-SND 1"
VRA;4;;;ABERTO;sem candidato;;"LTA ESO-VRA 1 ; LTA ESO-VRA 2 ; LTA PRI-VRA 1"
CAI;4;DCAI;ETD CANINDE;MEDIA;abreviacao (peso 1);RCAI|ETR CANINDE;"LTA NOR-CAI 1 ; LTA NOR-CAI 2 ; LTS CAI-PVI 1"
PVI;4;RPVI;ETR PEDRO VICENTE;ALTA;abreviacao (peso 1);;"LTA PVI-PSO 1 ; LTA PVI-PSO 2 ; LTS CAI-PVI 1"
CTR;4;TCTR;ETT CENTRO;ALTA;abreviacao (peso 1);;"LTS CTR-AUG ; LTS CTR-PSO 1 ; LTS CTR-PSO 2"
MRE;4;TMRE;ETT MIGUEL REALE;ALTA;abreviacao (peso 1);;"LTS MRE-CAM 1 ; LTS MRE-CAM 2 ; LTS MRE-WIL 1"
PED;3;RPVI;ETR PEDRO VICENTE;MEDIA;abreviacao (peso 3);USPE|ETU PEDREIRA;"LI PI-PED 1 ; LTA HB-PED 1 ; LTA HB-PED 2"
TRA;2;UTRA;ETU TRAICAO;ALTA;abreviacao (peso 1);;"LI BAN-TRA 1 ; LI BAN-TRA 2"
