agente,pct,distribuidora,uf,ano,energia_injetada_mwh,perda_tecnica_mwh,id_aneel
26,8.8794,Energisa AC,AC,2025,1593668.073,141507.405,26
31,11.5,Equatorial CEA,AP,2025,2029153.799,233352.687,31
32,10.1687,Energisa TO,TO,2025,4282951.609,435518.877,32
37,11.4982,Equatorial MA,MA,2025,11101118.613,1276423.272,37
38,11.1715,Equatorial PI,PI,2025,6269806.339,700428.419,38
39,9.2222,Enel CE,CE,2025,18777875.335,1731729.314,39
40,9.1638,Neoenergia Cosern,RN,2025,7822365.234,716829.075,40
43,9.253,Neoenergia Pernambuco,PE,2025,20065507.299,1856661.39,43
44,9.132,Equatorial AL,AL,2025,5886950.385,537598.053,44
46,11.4693,Sulgipe,SE,2025,654167.951,75028.796,46
47,10.8485,Neoenergia Coelba,BA,2025,30627490.15,3322621.222,47
51,4.9212,DMED,MG,2025,664406.016,32696.445,51
63,5.2311,CPFL Paulista,SP,2025,39830380.235,2083569.866,63
69,6.742,CPFL Santa Cruz (agrupada),SP,2025,3918255.085,264168.758,1000041
82,4.178,Cocel,PR,2025,419834.672,17540.693,82
83,3.7846,Pacto Energia,PR,2025,91485.018,3462.343,83
86,3.7529,Eflul,SC,2025,114738.692,4306.046,86
87,7.277,Dcelt,SC,2025,455666.274,33158.835,87
88,4.055,EFLJC,SC,2025,24958.574,1012.076,88
95,4.987,Demei,RS,2025,191924.611,9571.368,95
103,9.68,Chesp,GO,2025,156060.734,15106.679,103
369,10.1338,Energisa RO,RO,2025,5413965.008,548642.908,369
370,9.3117,Roraima Energia,RR,2025,1625013.89,151315.815,370
371,11.8677,Equatorial PA,PA,2025,16742175.21,1986917.571,371
380,6.9817,EDP ES,ES,2025,14867015.601,1037971.61,380
381,9.084,ELFSM,ES,2025,810694.433,73643.482,381
382,6.8587,Light,RJ,2025,36654236.236,2514007.559,382
383,8.001,Enel RJ,RJ,2025,16457561.71,1316762.479,383
385,5.7776,Neoenergia Elektro,SP,2025,22740261.799,1313830.901,385
390,5.0521,Enel SP,SP,2025,50735777.649,2563218.883,390
391,4.1889,EDP SP,SP,2025,18897128.961,791582.511,391
396,6.0803,RGE (agrupada),RS,2025,23568010.748,1433010.217,1000042
398,5.2443,Eletrocar,RS,2025,274549.39,14398.283,398
399,4.3153,Hidropan,RS,2025,175303.192,7564.886,399
400,10.8099,Nova Palma,RS,2025,103660.925,11205.688,400
401,6.4149,MuxEnergia,RS,2025,99286.429,6369.159,401
404,9.9495,Energisa MS,MS,2025,8139492.66,809837.314,404
405,8.779,Energisa MT,MT,2025,15402470.3,1352185.669,405
2866,5.786,Copel-DIS,PR,2025,39732242.699,2298907.563,2866
2904,6.5458,Cooperaliança,SC,2025,332760.725,21781.765,2904
2937,3.8585,CPFL Piratininga,SP,2025,17903280.455,690796.94,2937
4950,8.0136,Cemig-D,MG,2025,60989116.579,4887396.074,49
5160,7.7318,Neoenergia Brasília,DF,2025,8422846.68,651234.436,105
5216,6.631,ESS (agrupada),SP,2025,5816724.95,385707.031,1000040
5697,5.7795,Celesc-DIS,SC,2025,33727719.578,1949301.912,395
5707,6.6782,Equatorial CEEE,RS,2025,10657381.902,711723.681,89
6072,9.4515,Equatorial GO,GO,2025,20708004.235,1957213.644,406
6585,9.725,Energisa Minas Rio,MG,2025,2505397.412,243650.203,50
6587,8.2567,Energisa SE,SE,2025,3979544.609,328578.783,377
6600,8.5723,Energisa PB,PB,2025,7950381.161,681530.734,41
7019,8.0399,Amazonas Energia,AM,2025,13693926.367,1100981.845,27
