base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas
CEEE_EQUAT5707,P02,P02P0202,perda modelada absurda: 51.9%,51.898,3.609,-48.289,4.9516,4.7729,501,1437.9,True,False,False,,,13.8,1082,94.35,13,True,0,OK,0.974,0.975,0
CEEE_EQUAT5707,MOS,MOSMOS03,modelo quebrado na SE: NAO_CONVERGE[C-API:500],31.902,3.394,-28.508,14.5853,14.0902,4534,940.0,True,False,False,,,23,1463,1058.88,4,False,0,NAO_CONVERGE[C-API:500],0.036,0.971,621
CEEE_EQUAT5707,POS,POSPOS01,modelo quebrado na SE: NAO_CONVERGE[C-API:500],27.765,3.959,-23.806,10.5996,10.1799,3614,701.2,True,False,False,,,23,1504,1227.38,4,False,0,NAO_CONVERGE[C-API:500],0.037,0.985,110
CEEE_EQUAT5707,P01,P01P0101,modelo quebrado na SE: NAO_CONVERGE[C-API:500],24.816,3.349,-21.467,15.4296,14.9128,3515,740.9,True,False,False,,,13.8,1002,99.2,11,False,0,NAO_CONVERGE[C-API:500],0.981,0.986,0
CEEE_EQUAT5707,BG2,BG2BG202,perda modelada absurda: 24.4%,24.407,5.169,-19.238,8.8491,8.3917,3671,472.2,True,False,False,,,23,2938,2727.85,9,True,0,OK,0.956,0.999,0
CEEE_EQUAT5707,ARE,AREARE04,perda modelada absurda: 22.7%,22.673,3.592,-19.081,19.0436,18.3595,5543,631.2,True,False,False,,,23,1561,983.83,5,True,0,OK,0.088,0.972,953
CEEE_EQUAT5707,MRE,MREMRE04,modelo quebrado na SE: NAO_CONVERGE[C-API:500],21.875,2.468,-19.407,9.0041,8.7819,3370,886.4,True,False,False,,,23,2229,1028.62,4,False,0,NAO_CONVERGE[C-API:500],0.305,0.986,884
CEEE_EQUAT5707,SVP,SVPSVP05,modelo quebrado na SE: NAO_CONVERGE[C-API:500],20.186,3.74,-16.446,25.5792,24.6226,6574,539.7,True,False,False,,,23,890,490.29,6,False,0,NAO_CONVERGE[C-API:500],0.878,0.966,106
CEEE_EQUAT5707,AGR,AGRAGR02,medida quase sem perda: 2.41% total medido,19.359,2.406,-16.953,9.8278,9.5913,4177,804.5,True,False,False,,,23,2057,1900.95,6,True,0,OK,0.058,0.978,1566
CEEE_EQUAT5707,PMR,PMRPMR04,modelo quebrado na SE: NAO_CONVERGE[C-API:500],18.914,2.014,-16.9,1.2025,1.1782,265,939.2,True,False,False,,,23,1073,675.67,8,False,0,NAO_CONVERGE[C-API:500],0.987,0.993,0
CEEE_EQUAT5707,CM2,CM2CM202,modelo quebrado na SE: NAO_CONVERGE[C-API:500],18.848,6.154,-12.694,9.4693,8.8866,4310,306.3,True,False,False,,,23,996,450.14,4,False,0,NAO_CONVERGE[C-API:500],0.974,0.984,0
CEEE_EQUAT5707,PIN,PINPIN08,perda modelada absurda: 15.7%,15.715,4.904,-10.811,8.5581,8.1384,6596,320.4,True,False,False,,,13.8,704,201.73,8,True,0,OK,0.946,0.974,0
CEEE_EQUAT5707,AV1,AV1AV104,medida quase sem perda: 2.16% total medido,15.256,2.162,-13.094,4.9243,4.8178,748,705.7,True,False,False,,,23,637,190.33,6,True,0,OK,0.982,0.985,0
CEEE_EQUAT5707,CGU,CGUCGU08,modelo quebrado na SE: NAO_CONVERGE[C-API:500],14.701,2.108,-12.593,26.181,25.6291,9254,697.4,True,False,False,,,23,6611,3943.78,6,False,0,NAO_CONVERGE[C-API:500],0.236,0.984,1073
CEEE_EQUAT5707,SVP,SVPSVP04,modelo quebrado na SE: NAO_CONVERGE[C-API:500],14.579,2.512,-12.067,4.2234,4.1173,213,580.3,True,False,False,,,23,890,490.29,6,False,0,NAO_CONVERGE[C-API:500],0.878,0.966,106
CEEE_EQUAT5707,MRE,MREMRE02,modelo quebrado na SE: NAO_CONVERGE[C-API:500],13.553,2.725,-10.828,7.3926,7.1912,1837,497.4,True,False,False,,,23,2229,1028.62,4,False,0,NAO_CONVERGE[C-API:500],0.305,0.986,884
