base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas
ENERGISA_R369,18266677,13553492,modelo quebrado na SE: NAO_CONVERGE[C-API:500],9155.934,32.049,-9123.885,6.7486,4.5858,1496,28568.4,True,False,False,11.777684080798396,777.3968071471083,13.8,3300,1200.15,4,False,0,NAO_CONVERGE[C-API:500],0.588,1.007,1
ENERGISA_R369,19194181,38204583,modelo quebrado na SE: NAO_CONVERGE[C-API:500],1934.703,4.155,-1930.548,20.3877,19.5405,3744,46559.5,True,False,False,12.740976746419523,151.84887615022853,34.5,6070,3157.84,11,False,0,NAO_CONVERGE[C-API:500],0.98,1.011,0
ENERGISA_R369,9721616,141358488,modelo quebrado na SE: NAO_CONVERGE[C-API:500],1264.406,11.471,-1252.935,5.0383,4.4604,1388,11022.4,True,False,False,3.610938888089749,350.1599000111833,13.8,3330,1723.68,4,False,0,NAO_CONVERGE[C-API:500],0.025,1.011,2404
ENERGISA_R369,94764286,94767343,perda modelada absurda: 961.8%,961.758,49.311,-912.447,4.1438,2.1005,377,1950.4,True,False,False,4.776350695497668,201.3583300963604,34.5,2530,1313.85,4,True,0,OK,0.045,1.002,265
ENERGISA_R369,77455187,77457940,perda modelada absurda: 951.7%,951.737,27.798,-923.939,38.2258,27.5998,8800,3423.8,True,False,False,,,34.5,3695,1568.9,4,True,0,OK,0.021,1.003,997
ENERGISA_R369,17897392,16415897,modelo quebrado na SE: NAO_CONVERGE[C-API:500],892.571,27.884,-864.687,108.4518,78.2108,15451,3201.0,True,False,False,5.429116876165602,164.40445478683307,13.8,7247,4011.02,6,False,0,NAO_CONVERGE[C-API:500],0.016,0.997,1520
ENERGISA_R369,19194181,21929183,modelo quebrado na SE: NAO_CONVERGE[C-API:500],851.6,6.292,-845.308,25.8435,24.2173,5260,13533.6,True,False,False,10.842745479715894,78.54099329299335,34.5,6070,3157.84,11,False,0,NAO_CONVERGE[C-API:500],0.98,1.011,0
ENERGISA_R369,91183090,92226815,modelo quebrado na SE: NAO_CONVERGE[C-API:500],505.406,15.641,-489.765,5.8982,4.9757,1396,3231.3,True,False,False,31.415077984526867,16.08800717441898,13.8,6684,3421.51,7,False,0,NAO_CONVERGE[C-API:500],0.527,0.999,1781
ENERGISA_R369,1270945,15677416,perda modelada absurda: 47.2%,47.171,14.318,-32.853,25.4616,21.8161,3422,329.5,True,False,False,4.373828561248867,10.784830575648163,13.8,741,85.08,8,True,0,OK,1.006,1.015,0
ENERGISA_R369,91183090,92226820,modelo quebrado na SE: NAO_CONVERGE[C-API:500],24.195,14.878,-9.317,1.9845,1.6893,685,162.6,True,False,False,14.177951539407626,1.7065229721479849,13.8,6684,3421.51,7,False,0,NAO_CONVERGE[C-API:500],0.527,0.999,1781
