base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas
ENERGISA_S6587,30290940,149482728,modelo quebrado na SE: NAO_CONVERGE[C-API:500],6670.137,16.744,-6653.393,19.6051,16.3224,11806,39835.7,True,False,False,13.090292172286182,509.54836700448374,13.8,1357,602.15,4,False,0,NAO_CONVERGE[C-API:500],1.006,1.008,0
ENERGISA_S6587,30290953,29183617,modelo quebrado na SE: NAO_CONVERGE[C-API:500],3531.833,32.589,-3499.244,9.3391,6.2956,5559,10837.5,True,False,False,11.521900352023028,306.53215980815844,13.8,3279,1224.12,5,False,0,NAO_CONVERGE[C-API:500],0.131,0.97,198
ENERGISA_S6587,30290940,29183583,modelo quebrado na SE: NAO_CONVERGE[C-API:500],3517.574,16.578,-3500.996,10.8586,9.0585,5303,21218.6,True,False,False,10.13071709733711,347.21865848219227,13.8,1357,602.15,4,False,0,NAO_CONVERGE[C-API:500],1.006,1.008,0
ENERGISA_S6587,30290952,29183584,modelo quebrado na SE: NAO_CONVERGE[C-API:500],2837.55,26.114,-2811.436,11.9743,8.8474,7403,10866.1,True,False,False,14.004644778761417,202.61492132262106,13.8,3026,1058.25,4,False,0,NAO_CONVERGE[C-API:500],1.003,1.004,0
ENERGISA_S6587,30290953,29183630,modelo quebrado na SE: NAO_CONVERGE[C-API:500],2056.613,13.363,-2043.25,13.0138,11.2748,4265,15390.7,True,False,False,14.669439888261536,140.19710470647885,13.8,3279,1224.12,5,False,0,NAO_CONVERGE[C-API:500],0.131,0.97,198
ENERGISA_S6587,30290949,29183606,modelo quebrado na SE: NAO_CONVERGE[C-API:500],1533.579,26.133,-1507.446,12.6517,9.3455,9498,5868.4,True,False,False,8.417320828938141,182.19324547160733,13.8,1818,700.22,5,False,0,NAO_CONVERGE[C-API:500],1.012,1.016,0
ENERGISA_S6587,30290944,190894139,modelo quebrado na SE: NAO_CONVERGE[C-API:500],1439.623,14.814,-1424.809,13.4198,11.4318,8413,9717.8,True,False,False,9.04452125477763,159.17072440285784,13.8,2477,894.69,7,False,0,NAO_CONVERGE[C-API:500],0.992,1.003,0
ENERGISA_S6587,30290939,29183592,modelo quebrado na SE: NAO_CONVERGE[C-API:500],1265.208,10.679,-1254.529,13.509,12.0663,7609,11847.1,True,False,False,7.226090256819312,175.08887310202283,13.8,1473,499.05,4,False,0,NAO_CONVERGE[C-API:500],0.983,0.993,0
ENERGISA_S6587,30290956,77103064,modelo quebrado na SE: NAO_CONVERGE[C-API:500],983.194,6.921,-976.273,49.3976,45.9786,13132,14205.2,True,False,False,6.067550825462345,162.0413290769725,13.8,1946,552.36,5,False,0,NAO_CONVERGE[C-API:500],0.906,0.963,1648
ENERGISA_S6587,30290956,29183693,modelo quebrado na SE: NAO_CONVERGE[C-API:500],941.241,8.001,-933.24,16.8481,15.5002,7006,11764.4,True,False,False,5.991596685923961,157.0935176947498,13.8,1946,552.36,5,False,0,NAO_CONVERGE[C-API:500],0.906,0.963,1648
ENERGISA_S6587,30290939,29183636,modelo quebrado na SE: NAO_CONVERGE[C-API:500],574.846,11.373,-563.473,18.736,16.6052,4472,5054.6,True,False,False,5.078784286490162,113.18574831561978,13.8,1473,499.05,4,False,0,NAO_CONVERGE[C-API:500],0.983,0.993,0
ENERGISA_S6587,30290938,29183657,modelo quebrado na SE: NAO_CONVERGE[C-API:500],330.659,13.454,-317.205,25.6714,22.2177,11640,2457.7,True,False,False,7.303171192556477,45.27608504330469,13.8,1025,209.14,8,False,0,NAO_CONVERGE[C-API:500],1.0,1.011,0
ENERGISA_S6587,30290956,29183694,modelo quebrado na SE: NAO_CONVERGE[C-API:500],160.779,27.487,-133.292,23.586,17.1029,11022,584.9,True,False,False,6.919569575378947,23.235404781835005,13.8,1946,552.36,5,False,0,NAO_CONVERGE[C-API:500],0.906,0.963,1648
ENERGISA_S6587,30290947,29183603,perda modelada absurda: 21.2%,21.19,10.211,-10.979,3.1018,2.7851,825,207.5,True,False,False,8.374023289055438,2.5304443597254624,13.8,1573,680.25,7,True,0,OK,0.429,0.994,1842
ENERGISA_S6587,30290946,29183585,perda modelada absurda: 19.1%,19.136,15.474,-3.662,26.7902,22.6446,10228,123.7,True,False,False,15.404602770760128,1.2422261245400323,13.8,2460,1035.54,6,True,0,OK,0.127,0.974,1614
