base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas
NEOENERGIA40,STU,2314,modelo quebrado na SE: NAO_CONVERGE[C-API:500],1643.644,5.371,-1638.273,4.9699,4.703,4443,30599.6,True,False,False,12.096122361995594,135.88189262735227,13.8,2794,1486.79,13,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,ACR,1765,modelo quebrado na SE: NAO_CONVERGE[C-API:500],909.05,4.869,-904.181,14.2335,13.5406,5108,18671.9,True,False,False,9.153412488167033,99.31268815593788,13.8,1180,708.21,4,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,STU,2309,modelo quebrado na SE: NAO_CONVERGE[C-API:500],772.38,7.839,-764.541,12.0455,11.1012,8938,9852.5,True,False,False,16.726893250817238,46.175938855965576,13.8,2794,1486.79,13,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,VCR,2052,modelo quebrado na SE: NAO_CONVERGE[C-API:500],614.923,10.099,-604.824,10.6542,9.5782,3815,6088.9,True,False,False,6.959533089016882,88.35693316415646,13.8,550,294.89,3,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,PNA,1982,modelo quebrado na SE: NAO_CONVERGE[C-API:500],547.862,9.863,-537.999,18.7737,16.9221,771,5555.0,True,False,False,3.460165543642922,158.33404300743408,13.8,932,193.97,9,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,RBA,1957,modelo quebrado na SE: NAO_CONVERGE[C-API:500],540.478,13.871,-526.607,25.3954,21.8728,2864,3896.4,True,False,False,2.2754020095888063,237.53077378079274,13.8,624,61.07,8,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,LNV,2207,modelo quebrado na SE: NAO_CONVERGE[C-API:500],503.658,2.199,-501.459,30.2224,29.5578,3138,22903.1,True,False,False,2.5244510601408225,199.5118891201259,13.8,548,61.0,8,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,APD,1836,modelo quebrado na SE: NAO_CONVERGE[C-API:500],427.045,7.931,-419.114,20.1112,18.5162,4504,5384.3,True,False,False,9.140504389857515,46.72006946070259,13.8,2193,1171.66,6,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,NTU,1971,modelo quebrado na SE: NAO_CONVERGE[C-API:500],257.709,13.408,-244.301,18.4351,15.9632,7641,1922.0,True,False,False,6.003421942890223,42.927017699497455,13.8,718,110.07,9,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,PJA,2331,modelo quebrado na SE: NAO_CONVERGE[C-API:500],247.133,15.057,-232.076,16.0159,13.6044,6216,1641.3,True,False,False,4.7433668042366275,52.1007567408172,13.8,244,68.67,5,False,0,NAO_CONVERGE[C-API:500],,,
