base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto
CPFL,AUX,AUX33,perda modelada absurda: 224.7%,224.689,19.713,-204.976,69.9021,56.1225,12887,1139.8,True,False,False,,,34.5,4718,2439.49,13,True,0,OK
CPFL,AUX,AUX32,perda modelada absurda: 96.1%,96.11,22.589,-73.521,36.7398,28.4406,7727,425.5,True,False,False,,,34.5,4718,2439.49,13,True,0,OK
CPFL,PMP,PMP31,perda modelada absurda: 95.5%,95.506,21.103,-74.403,27.2997,21.5386,4396,452.6,True,False,False,,,34.5,1771,1130.39,7,True,0,OK
CPFL,CAF,CAF32,perda modelada absurda: 95.4%,95.427,24.635,-70.792,14.9224,11.2463,3555,387.4,True,False,False,,,34.5,1367,905.03,5,True,0,OK
CPFL,GPE,GPE41,perda modelada absurda: 90.5%,90.544,23.476,-67.068,25.8743,19.8001,4997,385.7,True,False,False,,,13.8,1076,682.11,5,True,0,OK
CPFL,ITB,ITB31,perda modelada absurda: 57.3%,57.27,26.606,-30.664,40.7604,29.9156,7961,215.2,True,False,False,,,13.2,2831,1380.17,10,True,0,OK
CPFL,SPD,SPD31,perda modelada absurda: 54.8%,54.795,17.829,-36.966,14.8519,12.204,3044,307.3,True,False,False,,,13.8,1942,881.02,10,True,0,OK
CPFL,IAC,IAC31,no limite: modelo 1.04x o total medido,34.695,33.243,-1.452,60.6353,40.4781,8985,104.4,True,False,False,,,34.5,2194,1297.81,3,True,0,OK
CPFL,BLV,BLV33,perda modelada absurda: 33.8%,33.844,15.648,-18.196,22.5556,19.026,1447,216.3,True,False,False,,,34.5,1423,737.94,13,True,0,OK
CPFL,USG,USG11,perda modelada absurda: 32.3%,32.288,13.707,-18.581,9.112,7.863,651,235.6,True,False,False,,,11.9,230,115.57,1,True,0,OK
CPFL,TRM,TRM24,perda modelada absurda: 29.8%,29.775,15.057,-14.718,28.7492,24.4203,6729,197.7,True,False,False,,,13.2,1505,585.26,14,True,0,OK
CPFL,CRA,CRA14,perda modelada absurda: 16.2%,16.226,10.794,-5.432,33.2982,29.7042,4249,150.3,True,False,False,,,13.8,805,293.76,11,True,0,OK
CPFL,BLV,BLV31,no limite: modelo 1.07x o total medido,16.153,15.062,-1.091,1.2001,1.0193,28,107.2,True,False,False,,,34.5,1423,737.94,13,True,0,OK
