base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto
SP,DREG,REG0302,perda modelada absurda: 35.1%,35.051,18.58,-16.471,41.0641,33.4345,9027,188.7,True,False,False,,,34.5,2500,889.0,4,True,0,OK
SP,DCAL,CAL0115,perda modelada absurda: 27.8%,27.825,12.581,-15.244,11.5901,10.132,1818,221.2,True,False,False,,,13.8,678,70.31,17,True,0,OK
SP,DESP,ESP0102,perda modelada absurda: 25.8%,25.789,20.345,-5.444,57.4886,45.7926,10160,126.8,True,False,False,,,13.8,870,167.86,12,True,0,OK
SP,DNAC,NAC0111,perda modelada absurda: 24.1%,24.148,10.791,-13.357,38.2969,34.1645,12393,223.8,True,False,False,,,34.5,1720,265.65,15,True,0,OK
SP,DSAU,SAU0104,perda modelada absurda: 21.5%,21.549,11.133,-10.416,47.5272,42.2362,16609,193.6,True,False,False,,,13.8,980,81.65,10,True,0,OK
SP,SSJO,MRE0225,perda modelada absurda: 19.5%,19.469,5.942,-13.527,27.7683,26.1183,5791,327.6,True,False,False,,,3.8,176,23.65,2,True,0,OK
SP,DAGU,AGU0109,perda modelada absurda: 18.5%,18.458,12.755,-5.703,14.9848,13.0735,1723,144.7,True,False,False,,,13.8,303,38.98,10,True,0,OK
SP,DBUT,BUT0108,perda modelada absurda: 17.4%,17.416,7.112,-10.304,17.693,16.4347,1887,244.9,True,False,False,,,13.8,1146,118.05,16,True,0,OK
SP,DCAM,CAM0011,perda modelada absurda: 16.6%,16.611,10.978,-5.633,13.428,11.9539,4335,151.3,True,False,False,,,34.5,545,91.6,21,True,0,OK
SP,DREG,REG0301,medida quase sem perda: 2.07% total medido,16.448,2.066,-14.382,38.0565,37.2702,11044,796.1,True,False,False,,,34.5,2500,889.0,4,True,0,OK
SP,DBUT,BUT0102,perda modelada absurda: 15.7%,15.73,10.519,-5.211,52.411,46.8977,2314,149.5,True,False,False,,,13.8,1146,118.05,16,True,0,OK
SP,DGVI,GVI0106,perda modelada absurda: 15.4%,15.45,11.555,-3.895,47.0247,41.5907,15521,133.7,True,False,False,,,13.8,1899,291.15,12,True,0,OK
SP,DMBE,MBE0112,a investigar,14.92,10.419,-4.501,16.1557,14.4725,5689,143.2,True,False,False,,,13.8,1426,184.98,14,True,0,OK
SP,DRPI,RPI0105,no limite: modelo 1.11x o total medido,13.868,12.523,-1.345,42.6692,37.3257,13054,110.7,True,False,False,,,13.8,1852,391.43,11,True,0,OK
SP,DJCI,JCI0104,no limite: modelo 1.07x o total medido,13.519,12.654,-0.865,17.09,14.9274,4309,106.8,True,False,False,,,13.8,871,88.59,10,True,0,OK
SP,DANA,ANA0105,a investigar,12.83,4.951,-7.879,10.2546,9.7469,1697,259.1,True,False,False,,,13.8,494,64.21,12,True,0,OK
SP,DTSE,TSE0108,a investigar,12.588,7.377,-5.211,32.6124,30.2065,11094,170.6,True,False,False,,,13.8,2287,244.29,16,True,0,OK
SP,DSAB,SAB0102,no limite: modelo 1.06x o total medido,12.539,11.869,-0.67,15.8773,13.9928,4095,105.6,True,False,False,,,13.8,803,102.79,16,True,0,OK
SP,DTTI,TTI0110,a investigar,12.294,9.033,-3.261,26.3521,23.9717,5669,136.1,True,False,False,,,13.8,684,66.08,16,True,0,OK
SP,DTTI,TTI0102,no limite: modelo 1.05x o total medido,12.193,11.657,-0.536,13.5043,11.9302,3599,104.6,True,False,False,,,13.8,684,66.08,16,True,0,OK
SP,DPAN,PAN0108,no limite: modelo 1.07x o total medido,11.851,11.123,-0.728,30.1383,26.7859,8907,106.5,True,False,False,,,13.8,1617,165.51,12,True,0,OK
SP,DVFO,VFO0103,no limite: modelo 1.18x o total medido,11.801,9.992,-1.809,17.911,16.1213,4676,118.1,True,False,False,,,13.8,1425,164.1,16,True,0,OK
SP,DTIR,TIR0109,no limite: modelo 1.01x o total medido,11.548,11.38,-0.168,46.273,41.0071,13580,101.5,True,False,False,,,13.8,1754,243.39,12,True,0,OK
SP,DMAU,MAU0105,no limite: modelo 1.16x o total medido,11.298,9.741,-1.557,30.7213,27.7286,8827,116.0,True,False,False,,,13.8,1531,216.44,16,True,0,OK
SP,DPEN,PEN0115,no limite: modelo 1.05x o total medido,11.046,10.562,-0.484,30.5467,27.3203,5406,104.6,True,False,False,,,13.8,1273,135.25,16,True,0,OK
SP,DPRI,PRI0102,no limite: modelo 1.02x o total medido,10.997,10.795,-0.202,34.98,31.204,11061,101.9,True,False,False,,,13.8,1463,160.55,12,True,0,OK
