base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto
LT,10386015,CMR2800,perda modelada absurda: 4412.5%,4412.486,99.895,-4312.591,2.296,0.0024,1,4417.1,True,False,False,,,13.8,459,135.51,54,True,0,OK
LT,10385997,SMT9670,perda modelada absurda: 238.3%,238.336,99.466,-138.87,13.4039,0.0716,18,239.6,True,False,False,,,13.8,231,72.77,17,True,0,OK
LT,10386015,CMR9568,perda modelada absurda: 157.3%,157.276,97.934,-59.342,5.4822,0.1133,29,160.6,True,False,False,,,13.8,459,135.51,54,True,0,OK
LT,10386114,MKZ9698,perda modelada absurda: 119.7%,119.688,97.119,-22.569,5.2407,0.151,90,123.2,True,False,False,,,13.8,281,79.98,31,True,0,OK
LT,10386015,CMR2405,no limite: modelo 1.04x o total medido,100.396,96.987,-3.409,3.4676,0.1045,27,103.5,True,False,False,,,13.8,459,135.51,54,True,0,OK
LT,10385988,ITP38335,denominador minusculo: 0.205 GWh injetados,99.371,53.996,-45.375,0.2052,0.0944,73,184.0,True,False,False,,,13.8,1039,241.85,20,True,0,OK
LT,10385988,ITP0001,denominador minusculo: 0.235 GWh injetados,78.789,59.358,-19.431,0.2351,0.0955,4,132.7,True,False,False,,,13.8,1039,241.85,20,True,0,OK
LT,10385988,ITP38330,denominador minusculo: 0.260 GWh injetados,78.728,42.862,-35.866,0.2596,0.1484,5,183.7,True,False,False,,,13.8,1039,241.85,20,True,0,OK
LT,18520470,VRD017,no limite: modelo 1.05x o total medido,15.989,15.253,-0.736,42.9754,36.4204,16804,104.8,True,False,False,,,25,3839,1413.73,21,True,0,OK
LT,18521208,BRI001,a investigar,13.635,8.176,-5.459,73.1322,67.1533,1987,166.8,True,False,False,,,25,996,496.45,4,True,0,OK
LT,18520299,SCI007,no limite: modelo 1.07x o total medido,5.179,4.86,-0.319,41.9645,39.925,15612,106.6,True,False,False,,,25,3468,1714.08,8,True,0,OK
LT,10385880,JDB625,no limite: modelo 1.02x o total medido,2.752,2.702,-0.05,9.8124,9.5472,1708,101.8,True,False,False,,,13.8,612,154.24,24,True,0,OK
LT,10385943,AVD33340,no limite: modelo 1.00x o total medido,2.076,2.073,-0.003,16.7944,16.4463,820,100.2,True,False,False,,,13.8,696,282.61,24,True,0,OK
