base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto
ENERGISA_P6600,12912335,26260904,perda modelada absurda: 21.1%,21.093,15.938,-5.155,8.7478,7.3535,7294,132.3,True,False,False,10.148262877877604,2.078483801004115,13.8,1647,1126.63,4,True,0,OK
ENERGISA_P6600,12873450,26260870,perda modelada absurda: 18.1%,18.107,11.264,-6.843,5.6157,4.9831,3738,160.7,True,False,False,6.541632528701267,2.7679634893210436,13.8,1357,841.21,3,True,0,OK
ENERGISA_P6600,12873432,606596205,no limite: modelo 1.01x o total medido,15.204,15.028,-0.176,6.7741,5.7561,4374,101.2,True,False,False,6.031223640402014,2.52088148384207,13.8,1628,1109.17,5,True,0,OK
ENERGISA_P6600,12873458,26260915,a investigar,11.453,6.376,-5.077,19.665,18.4111,12401,179.6,True,False,False,3.1448444142746728,3.641833582613504,13.8,1939,998.34,7,True,0,OK
ENERGISA_P6600,12873429,17067359,no limite: modelo 1.00x o total medido,9.753,9.719,-0.034,4.2529,3.8396,2082,100.4,True,False,False,2.0278412573829088,4.809548067183043,13.8,1557,887.43,6,True,0,OK
ENERGISA_P6600,12873459,122799812,no limite: modelo 1.11x o total medido,8.201,7.389,-0.812,11.3208,10.4843,9437,111.0,True,False,False,3.905425745792715,2.0998990977705505,13.8,1582,860.21,5,True,0,OK
ENERGISA_P6600,12873429,17067350,a investigar,7.448,5.317,-2.131,3.5922,3.4012,2152,140.1,True,False,False,1.5936429106316168,4.673568934616661,13.8,1557,887.43,6,True,0,OK
ENERGISA_P6600,12873446,26260962,a investigar,6.977,3.939,-3.038,11.9701,11.4986,7936,177.1,True,False,False,9.221944919657165,0.7565649177895304,13.8,1530,1152.48,4,True,0,OK
ENERGISA_P6600,12873439,17067387,no limite: modelo 1.03x o total medido,5.372,5.197,-0.175,6.5856,6.2434,3411,103.4,True,False,False,2.5020165184444627,2.1470681589823575,13.8,1684,969.51,8,True,0,OK
ENERGISA_P6600,12873458,26260916,a investigar,5.262,4.333,-0.929,3.5394,3.386,2182,121.4,True,False,False,3.30255581486023,1.593311451792283,13.8,1939,998.34,7,True,0,OK
ENERGISA_P6600,12873435,17067433,a investigar,5.213,3.511,-1.702,11.889,11.4715,8251,148.5,True,False,False,6.8731577514819575,0.7584577843969895,13.8,1220,716.35,4,True,0,OK
ENERGISA_P6600,12873425,17067293,a investigar,4.506,3.665,-0.841,8.7204,8.4008,6026,122.9,True,False,False,3.974876301148621,1.1336201830225259,13.8,1764,933.97,5,True,0,OK
ENERGISA_P6600,12873438,17067330,a investigar,4.223,3.223,-1.0,12.5321,12.1282,5942,131.0,True,False,False,3.573200311424983,1.1818536975095801,13.8,1277,660.0,5,True,0,OK
ENERGISA_P6600,12873486,51696899,medida quase sem perda: 2.46% total medido,3.908,2.458,-1.45,9.1242,8.9,336,159.0,True,False,False,3.159854010518599,1.2367659983628845,13.8,945,457.73,6,True,0,OK
ENERGISA_P6600,12912330,17067341,a investigar,3.834,3.1,-0.734,4.8906,4.739,2731,123.7,True,False,False,2.587779393335148,1.4815791523321138,13.8,770,522.5,4,True,0,OK
ENERGISA_P6600,12873440,17067450,medida quase sem perda: 2.66% total medido,3.494,2.662,-0.832,11.6123,11.3031,5553,131.3,True,False,False,1.3019870135428522,2.683590514848866,13.8,2239,1109.13,7,True,0,OK
ENERGISA_P6600,613174617,613174632,medida quase sem perda: 2.51% total medido,3.122,2.507,-0.615,20.616,20.0992,9455,124.5,True,False,False,,,13.8,501,75.87,5,True,0,OK
ENERGISA_P6600,12873488,51696891,no limite: modelo 1.06x o total medido,2.649,2.507,-0.142,24.3852,23.7737,10499,105.7,True,False,False,1.5245752825325838,1.737533088952847,13.8,864,140.3,8,True,0,OK
ENERGISA_P6600,12873420,51696828,no limite: modelo 1.19x o total medido,2.63,2.203,-0.427,37.7856,36.9531,10177,119.4,True,False,False,0.9833325349690186,2.674578442665748,13.8,1005,122.31,6,True,0,OK
