base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto
CEEE_EQUAT5707,ELD,ELDELD04,perda modelada absurda: 31.7%,31.742,4.097,-27.645,20.7008,19.8526,5536,774.7,True,False,False,,,23,827,263.94,6,True,0,OK
CEEE_EQUAT5707,MOS,MOSMOS03,perda modelada absurda: 27.5%,27.523,3.394,-24.129,14.5853,14.0902,4534,810.9,True,False,False,,,23,1463,1058.88,4,True,0,OK
CEEE_EQUAT5707,POS,POSPOS01,perda modelada absurda: 27.4%,27.433,3.959,-23.474,10.5996,10.1799,3614,692.9,True,False,False,,,23,1504,1227.38,4,True,0,OK
CEEE_EQUAT5707,BG2,BG2BG202,perda modelada absurda: 23.5%,23.46,5.169,-18.291,8.8491,8.3917,3671,453.9,True,False,False,,,23,2938,2727.85,9,True,0,OK
CEEE_EQUAT5707,ARE,AREARE04,perda modelada absurda: 22.6%,22.636,3.592,-19.044,19.0436,18.3595,5543,630.1,True,False,False,,,23,1561,983.83,5,True,0,OK
CEEE_EQUAT5707,CM2,CM2CM202,perda modelada absurda: 17.9%,17.878,6.154,-11.724,9.4693,8.8866,4310,290.5,True,False,False,,,23,996,450.14,4,True,0,OK
CEEE_EQUAT5707,SVP,SVPSVP05,perda modelada absurda: 16.0%,15.971,3.74,-12.231,25.5792,24.6226,6574,427.0,True,False,False,,,23,890,490.29,6,True,0,OK
CEEE_EQUAT5707,PMR,PMRPMR04,medida quase sem perda: 2.01% total medido,15.716,2.014,-13.702,1.2025,1.1782,265,780.4,True,False,False,,,23,1073,675.67,8,True,0,OK
CEEE_EQUAT5707,P01,P01P0101,perda modelada absurda: 15.7%,15.685,3.349,-12.336,15.4296,14.9128,3515,468.3,True,False,False,,,13.8,1002,99.2,11,True,0,OK
CEEE_EQUAT5707,AGR,AGRAGR02,medida quase sem perda: 2.41% total medido,13.469,2.406,-11.063,9.8278,9.5913,4177,559.8,True,False,False,,,23,2057,1900.95,6,True,0,OK
CEEE_EQUAT5707,PIN,PINPIN08,a investigar,12.334,4.904,-7.43,8.5581,8.1384,6596,251.5,True,False,False,,,13.8,704,201.73,8,True,0,OK
CEEE_EQUAT5707,BG2,BG2BG201,a investigar,11.403,4.128,-7.275,3.0615,2.9352,1107,276.2,True,False,False,,,23,2938,2727.85,9,True,0,OK
CEEE_EQUAT5707,P12,P12P1207,medida quase sem perda: 2.43% total medido,11.372,2.432,-8.94,7.4046,7.2246,1385,467.6,True,False,False,,,13.8,1627,165.82,14,True,0,OK
CEEE_EQUAT5707,CGU,CGUCGU08,modelo quebrado na SE: NAO_CONVERGE[C-API:500],11.174,2.108,-9.066,26.181,25.6291,9254,530.1,True,False,False,,,23,6611,3943.78,6,False,0,NAO_CONVERGE[C-API:500]
CEEE_EQUAT5707,SVP,SVPSVP04,medida quase sem perda: 2.51% total medido,11.02,2.512,-8.508,4.2234,4.1173,213,438.7,True,False,False,,,23,890,490.29,6,True,0,OK
CEEE_EQUAT5707,MRE,MREMRE04,medida quase sem perda: 2.47% total medido,10.335,2.468,-7.867,9.0041,8.7819,3370,418.8,True,False,False,,,23,2229,1028.62,4,True,0,OK
CEEE_EQUAT5707,P15,P15P1515,a investigar,10.331,3.405,-6.926,25.0547,24.2017,6238,303.4,True,False,False,,,23,1081,163.27,8,True,0,OK
CEEE_EQUAT5707,CHA,CHACHA03,a investigar,9.931,7.662,-2.269,1.3922,1.2856,160,129.6,True,False,False,,,13.8,493,161.01,5,True,0,OK
CEEE_EQUAT5707,ARE,AREARE01,a investigar,9.391,4.324,-5.067,21.7628,20.8218,6431,217.2,True,False,False,,,23,1561,983.83,5,True,0,OK
CEEE_EQUAT5707,RIN,RINRIN10,a investigar,8.717,3.268,-5.449,10.8942,10.5382,2407,266.8,True,False,False,,,23,814,178.14,7,True,0,OK
CEEE_EQUAT5707,ELD,ELDELD05,a investigar,8.611,4.881,-3.73,11.4815,10.9211,4594,176.4,True,False,False,,,23,827,263.94,6,True,0,OK
CEEE_EQUAT5707,CM1,CM1CM105,medida quase sem perda: 2.20% total medido,8.606,2.198,-6.408,28.8124,28.1791,6852,391.5,True,False,False,,,23,3426,1603.29,8,True,0,OK
CEEE_EQUAT5707,P12,P12P1205,medida quase sem perda: 2.73% total medido,8.479,2.726,-5.753,4.5178,4.3946,1249,311.1,True,False,False,,,13.8,1627,165.82,14,True,0,OK
CEEE_EQUAT5707,CPV,CPVCPV02,a investigar,8.342,3.31,-5.032,16.3923,15.8497,2576,252.0,True,False,False,,,23,690,555.39,3,True,0,OK
CEEE_EQUAT5707,PMR,PMRPMR02,medida quase sem perda: 2.82% total medido,8.07,2.822,-5.248,4.3293,4.2071,1012,286.0,True,False,False,,,23,1073,675.67,8,True,0,OK
CEEE_EQUAT5707,MRE,MREMRE03,medida quase sem perda: 2.63% total medido,7.89,2.628,-5.262,1.7676,1.7212,719,300.3,True,False,False,,,23,2229,1028.62,4,True,0,OK
CEEE_EQUAT5707,DFE,DFEDFE02,medida quase sem perda: 2.41% total medido,7.796,2.414,-5.382,9.4342,9.2065,2643,323.0,True,False,False,,,23,2993,1425.28,4,True,0,OK
CEEE_EQUAT5707,RG2,RG2RG217,medida quase sem perda: 2.68% total medido,7.789,2.684,-5.105,7.9261,7.7133,2862,290.2,True,False,False,,,23,487,63.04,10,True,0,OK
CEEE_EQUAT5707,MRE,MREMRE02,medida quase sem perda: 2.73% total medido,7.578,2.725,-4.853,7.3926,7.1912,1837,278.1,True,False,False,,,23,2229,1028.62,4,True,0,OK
CEEE_EQUAT5707,ARE,AREARE03,medida quase sem perda: 2.16% total medido,6.643,2.156,-4.487,18.5058,18.1067,4140,308.1,True,False,False,,,23,1561,983.83,5,True,0,OK
CEEE_EQUAT5707,SVP,SVPSVP06,a investigar,6.629,5.233,-1.396,6.4638,6.1255,3470,126.7,True,False,False,,,23,890,490.29,6,True,0,OK
CEEE_EQUAT5707,SLO,SLOSLO05,medida quase sem perda: 2.96% total medido,6.576,2.958,-3.618,9.981,9.6858,2428,222.3,True,False,False,,,23,3785,1697.8,6,True,0,OK
CEEE_EQUAT5707,VAS,VASVAS01,a investigar,6.531,3.015,-3.516,15.1074,14.652,3286,216.6,True,False,False,,,23,3530,1512.23,5,True,0,OK
