base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas
NEOENERGIA43,SRT,536,perda modelada absurda: 109.4%,109.372,7.922,-101.45,11.7381,10.8083,8522,1380.6,True,False,False,11.156337647676825,9.803575640503801,13.8,3199,1200.54,7,True,0,OK,0.753,0.943,6072
NEOENERGIA43,BZR,113,perda modelada absurda: 61.5%,61.541,5.473,-56.068,6.8337,6.4597,2511,1124.4,True,False,False,1.024339199591903,60.078731756548954,13.8,1609,618.98,5,True,0,OK,0.811,0.937,3046
NEOENERGIA43,CPS,171,medida quase sem perda: 2.84% total medido,53.675,2.837,-50.838,9.2791,9.0158,7802,1891.7,True,False,False,4.0829289443769285,13.146199880338848,13.8,2375,770.71,10,True,0,OK,0.652,0.906,8780
NEOENERGIA43,BCO,40,perda modelada absurda: 46.6%,46.579,5.957,-40.622,9.2554,8.7041,6805,781.9,True,False,False,4.246046581298509,10.969969148514476,13.8,2320,1214.86,5,True,0,OK,0.769,0.947,3356
NEOENERGIA43,RIF,476,perda modelada absurda: 39.8%,39.822,28.26,-11.562,16.4271,11.7847,4639,140.9,True,False,False,5.258929858747641,7.572263002093584,13.8,867,534.73,6,True,0,OK,0.782,0.957,1488
NEOENERGIA43,BNO,74,perda modelada absurda: 23.4%,23.448,8.831,-14.617,6.6626,6.0743,5441,265.5,True,False,False,9.847081291184171,2.3812132048703982,13.8,2493,1513.55,3,True,0,OK,0.874,0.998,740
NEOENERGIA43,PNM,411,perda modelada absurda: 19.9%,19.865,14.584,-5.281,2.7843,2.3782,2334,136.2,True,False,False,5.694121966475235,3.4886853700987364,13.8,1918,1403.36,3,True,0,OK,0.858,0.988,1088
NEOENERGIA43,FRT,670,perda modelada absurda: 19.8%,19.796,16.197,-3.599,6.4629,5.4161,4764,122.2,True,False,False,10.087467830511521,1.9624350067440237,13.8,3742,2513.16,7,True,0,OK,0.687,0.934,11047
NEOENERGIA43,TAB,564,no limite: modelo 1.17x o total medido,19.599,16.707,-2.892,9.0399,7.5296,5126,117.3,True,False,False,10.108773865903284,1.938810805344759,13.8,2056,1029.69,5,True,0,OK,0.856,0.943,3395
NEOENERGIA43,CTA,193,perda modelada absurda: 19.6%,19.59,16.148,-3.442,8.3223,6.9784,4864,121.3,True,False,False,10.646024822640866,1.8401234570050984,13.8,2173,1211.56,6,True,0,OK,0.786,0.921,7288
NEOENERGIA43,FLR,215,perda modelada absurda: 17.2%,17.185,4.677,-12.508,9.2089,8.7782,5962,367.4,True,False,False,14.564144523928894,1.1799525864196856,13.8,2305,1028.41,4,True,0,OK,0.85,0.969,1936
NEOENERGIA43,MSO,351,perda modelada absurda: 16.5%,16.546,8.305,-8.241,5.2952,4.8554,48,199.2,True,False,False,,,13.8,17,9.3,1,True,0,OK,0.999,0.999,0
NEOENERGIA43,BCO,42,no limite: modelo 1.14x o total medido,16.318,14.375,-1.943,11.2642,9.645,8130,113.5,True,False,False,11.26870249849157,1.4480815339817812,13.8,2320,1214.86,5,True,0,OK,0.769,0.947,3356
NEOENERGIA43,AFN,626,medida quase sem perda: 2.23% total medido,15.478,2.231,-13.247,3.3077,3.2339,2622,693.7,True,False,False,3.3356259998692668,4.640208464799899,13.8,3424,2178.77,4,True,0,OK,0.725,0.941,9831
NEOENERGIA43,BNO,75,perda modelada absurda: 15.5%,15.473,5.379,-10.094,11.4287,10.814,6484,287.7,True,False,False,8.46484737157528,1.8279124620672904,13.8,2493,1513.55,3,True,0,OK,0.874,0.998,740
NEOENERGIA43,SRT,535,a investigar,14.988,6.643,-8.345,10.2088,9.5306,7131,225.6,True,False,False,6.276995649197038,2.387766510865319,13.8,3199,1200.54,7,True,0,OK,0.753,0.943,6072
NEOENERGIA43,SCZ,674,no limite: modelo 1.02x o total medido,14.735,14.427,-0.308,5.2976,4.5333,4081,102.1,True,False,False,5.558262161485438,2.651008457661898,13.8,4697,3270.77,4,True,0,OK,0.861,0.981,3244
NEOENERGIA43,QPA,464,a investigar,14.59,7.509,-7.081,2.3142,2.1404,2092,194.3,True,False,False,0.6094076786228805,23.941280216504662,13.8,1628,912.6,5,True,0,OK,0.902,0.964,998
NEOENERGIA43,LJD,322,a investigar,14.522,4.139,-10.383,18.9869,18.2011,14257,350.9,True,False,False,5.850837065014805,2.4820380124468997,13.8,4634,1950.92,6,True,0,OK,0.915,1.009,1189
NEOENERGIA43,IAB,833,medida quase sem perda: 2.17% total medido,13.847,2.166,-11.681,3.7096,3.6293,3298,639.4,True,False,False,3.497349951418242,3.959283512473431,13.8,3293,1748.69,4,True,0,OK,0.681,0.914,10091
NEOENERGIA43,SGR,513,no limite: modelo 1.19x o total medido,12.643,10.586,-2.057,12.9282,11.5596,8129,119.4,True,False,False,10.061600856788692,1.256559485906222,13.8,2619,1313.03,6,True,0,OK,0.855,0.96,2544
NEOENERGIA43,SGR,515,a investigar,12.323,6.773,-5.55,9.3698,8.7352,5905,181.9,True,False,False,8.193044212526448,1.5040807397522902,13.8,2619,1313.03,6,True,0,OK,0.855,0.96,2544
NEOENERGIA43,PZR,454,a investigar,12.251,3.552,-8.699,28.7209,27.7007,6311,344.9,True,False,False,0.911070607437746,13.44681729383649,13.8,473,74.73,10,True,0,OK,0.97,0.977,0
NEOENERGIA43,TAB,563,a investigar,12.009,7.654,-4.355,4.3514,4.0184,3259,156.9,True,False,False,5.8652573074807774,2.0474805060441685,13.8,2056,1029.69,5,True,0,OK,0.856,0.943,3395
NEOENERGIA43,AGB,10,a investigar,11.33,6.243,-5.087,7.0066,6.5692,6510,181.5,True,False,False,2.7495486711610773,4.120676283651883,13.8,2704,1455.04,3,True,0,OK,0.836,0.952,4467
NEOENERGIA43,SRT,537,a investigar,11.33,7.644,-3.686,9.1774,8.4759,5783,148.2,True,False,False,3.538263546386629,3.2021356949429345,13.8,3199,1200.54,7,True,0,OK,0.753,0.943,6072
NEOENERGIA43,SDD,850,a investigar,10.796,3.652,-7.144,4.2307,4.0761,1656,295.6,True,False,False,4.722695284184442,2.285982759919763,13.8,1474,609.49,5,True,0,OK,0.866,0.906,4396
NEOENERGIA43,AFN,649,a investigar,10.771,4.889,-5.882,9.568,9.1002,5989,220.3,True,False,False,6.2304968019879166,1.7287545989211295,13.8,3424,2178.77,4,True,0,OK,0.725,0.941,9831
NEOENERGIA43,NZE,358,no limite: modelo 1.17x o total medido,10.757,9.203,-1.554,15.8975,14.4344,6322,116.9,True,False,False,3.4770867050145076,3.0936818413204104,13.8,857,383.33,3,True,0,OK,0.846,0.935,2093
NEOENERGIA43,COS,159,a investigar,10.476,7.08,-3.396,3.7117,3.4489,2978,148.0,True,False,False,2.7591803680097424,3.7967796964127323,13.8,1421,742.76,4,True,0,OK,0.829,0.966,2086
NEOENERGIA43,PMR,657,a investigar,10.039,7.377,-2.662,3.7754,3.4969,3432,136.1,True,False,False,1.7055098130448343,5.886216498559715,13.8,1889,1045.06,7,True,0,OK,0.814,0.942,3020
NEOENERGIA43,BRJ,86,a investigar,9.971,6.387,-3.584,10.7096,10.0256,7792,156.1,True,False,False,4.367374721245794,2.283064915747777,13.8,2496,1061.79,5,True,0,OK,0.837,0.959,3307
NEOENERGIA43,SJE,711,medida quase sem perda: 2.53% total medido,9.376,2.528,-6.848,14.4942,14.1277,10616,370.8,True,False,False,4.6508915193815445,2.015957577365034,13.8,3676,1801.89,5,True,0,OK,0.762,0.955,5521
NEOENERGIA43,BJD,46,a investigar,9.363,7.067,-2.296,23.6913,22.017,9377,132.5,True,False,False,7.221145177834352,1.2966087468702572,13.8,2361,943.95,6,True,0,OK,0.74,0.858,5841
NEOENERGIA43,TRU,841,no limite: modelo 1.07x o total medido,9.332,8.759,-0.573,8.1074,7.3973,4892,106.5,True,False,False,4.802459906007206,1.9431708296673071,13.8,704,414.89,3,True,0,OK,0.944,0.985,0
NEOENERGIA43,EXU,669,medida quase sem perda: 2.88% total medido,8.979,2.88,-6.099,7.7812,7.5571,6566,311.8,True,False,False,4.834516447890931,1.85726951118702,13.8,2693,1684.27,5,True,0,OK,0.89,0.955,3308
NEOENERGIA43,AGT,19,a investigar,8.684,4.598,-4.086,3.7942,3.6197,2706,188.9,True,False,False,3.022731343450161,2.8728983866915665,13.8,1652,778.06,5,True,0,OK,0.746,0.905,5424
NEOENERGIA43,BRJ,85,no limite: modelo 1.02x o total medido,8.678,8.477,-0.201,6.0015,5.4928,4242,102.4,True,False,False,3.105562839521227,2.794340494278279,13.8,2496,1061.79,5,True,0,OK,0.837,0.959,3307
NEOENERGIA43,SMV,528,no limite: modelo 1.07x o total medido,8.338,7.782,-0.556,6.1933,5.7113,2726,107.1,True,False,False,1.5508277363555236,5.376483670323351,13.8,1183,812.3,3,True,0,OK,0.759,0.969,2262
NEOENERGIA43,CAT,119,a investigar,8.207,5.314,-2.893,11.0287,10.4426,8086,154.4,True,False,False,2.613607871424811,3.140103796644118,13.8,2532,1128.64,5,True,0,OK,0.783,0.967,3379
NEOENERGIA43,AGL,13,medida quase sem perda: 2.13% total medido,7.812,2.133,-5.679,9.836,9.6262,7572,366.3,True,False,False,2.363035180482455,3.305917772415493,13.8,775,380.62,3,True,0,OK,0.959,0.988,0
NEOENERGIA43,BCO,712,no limite: modelo 1.05x o total medido,7.757,7.384,-0.373,6.7984,6.2964,4519,105.0,True,False,False,3.167636467842991,2.4488289861374612,13.8,2320,1214.86,5,True,0,OK,0.769,0.947,3356
NEOENERGIA43,TAB,562,medida quase sem perda: 2.99% total medido,7.115,2.986,-4.129,11.6276,11.2805,7186,238.3,True,False,False,2.8337118351960884,2.510841050112512,13.8,2056,1029.69,5,True,0,OK,0.856,0.943,3395
NEOENERGIA43,PTO,439,a investigar,7.006,3.541,-3.465,5.2732,5.0865,174,197.9,True,False,False,,,13.8,183,61.52,5,True,0,OK,0.942,0.971,0
NEOENERGIA43,TDD,580,a investigar,6.526,3.674,-2.852,9.5545,9.2036,7982,177.7,True,False,False,1.8898175846688716,3.453243346311367,13.8,1919,997.51,5,True,0,OK,0.806,0.963,2870
NEOENERGIA43,CTD,200,a investigar,6.434,5.261,-1.173,15.1594,14.3619,7138,122.3,True,False,False,3.5272703591984067,1.8240733895606929,13.8,958,547.11,4,True,0,OK,0.887,1.009,900
NEOENERGIA43,GAN,223,no limite: modelo 1.11x o total medido,6.1,5.479,-0.621,16.842,15.9192,11849,111.3,True,False,False,1.5647581750553954,3.8983659566335533,13.8,1817,619.95,4,True,0,OK,0.829,0.943,2327
NEOENERGIA43,CDD,148,no limite: modelo 1.09x o total medido,5.668,5.203,-0.465,8.4521,8.0124,3511,108.9,True,False,False,4.478513458539666,1.265598518899661,13.8,958,596.6,6,True,0,OK,0.82,0.89,5985
