base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
CELESCDIS5697,BND,BND01,perda modelada absurda: 290.3%,290.259,13.266,-276.993,36.4862,31.646,6547,2188.0,True,False,False,,,23,2898,1061.49,11,True,0,OK,0.85,0.986,2970,55.6
CELESCDIS5697,GPR,GPR12,perda modelada absurda: 33.2%,33.198,6.08,-27.118,54.3202,51.0174,4383,546.0,True,False,False,,,23,1717,463.09,10,True,0,OK,0.808,0.945,4101,31.8
CELESCDIS5697,IAL,IAL02,no limite: modelo 1.05x o total medido,11.108,10.585,-0.523,51.6692,46.2002,6317,104.9,True,False,False,,,24.2,1744,571.08,6,True,0,OK,0.875,0.933,5744,44.3
CELESCDIS5697,SJM,SJM03,a investigar,9.339,5.795,-3.544,3.7531,3.5356,1390,161.2,True,False,False,,,24.2,3764,2533.58,6,True,0,OK,0.977,0.996,738,18.3
CELESCDIS5697,JVQ,JVQ13,a investigar,8.905,5.51,-3.395,37.6299,35.5566,8794,161.6,True,False,False,,,13.8,952,177.78,11,True,0,OK,0.665,0.953,1294,34.0
CELESCDIS5697,IRA,IRA05,no limite: modelo 1.02x o total medido,8.264,8.092,-0.172,29.8149,27.4023,5735,102.1,True,False,False,,,24,1671,780.69,6,True,0,OK,0.679,0.724,12250,69.3
CELESCDIS5697,IBA,IBA08,no limite: modelo 1.00x o total medido,8.255,8.228,-0.027,32.9033,30.1959,8030,100.3,True,False,False,,,34.5,2224,731.25,11,True,0,OK,0.521,0.967,1440,44.5
CELESCDIS5697,RSL,RSL05,no limite: modelo 1.18x o total medido,7.764,6.577,-1.187,28.394,26.5265,5258,118.0,True,False,False,,,23,1070,447.8,6,True,0,OK,0.924,0.982,138,49.3
CELESCDIS5697,IAA,IAA07,no limite: modelo 1.18x o total medido,7.176,6.096,-1.08,12.6801,11.9071,3748,117.7,True,False,False,,,24,3485,1537.54,8,True,0,OK,0.949,0.969,0,88.5
CELESCDIS5697,TJS,TJS01,a investigar,6.787,4.275,-2.512,43.6441,41.7784,9599,158.8,True,False,False,,,24.2,2653,923.24,10,True,0,OK,0.883,0.94,8269,22.7
CELESCDIS5697,PLA,PLA09,a investigar,6.678,4.915,-1.763,41.0089,38.9932,11945,135.9,True,False,False,,,13.8,2502,686.09,15,True,0,OK,0.933,0.975,0,47.6
CELESCDIS5697,TIO,TIO04,no limite: modelo 1.19x o total medido,6.504,5.445,-1.059,25.5683,24.1762,4702,119.5,True,False,False,,,23,3389,1788.34,8,True,0,OK,0.655,0.876,16924,5.5
CELESCDIS5697,PBO,PBO09,a investigar,6.406,4.8,-1.606,18.8259,17.9223,4502,133.5,True,False,False,,,13.8,1778,318.97,11,True,0,OK,0.884,0.942,3072,44.1
CELESCDIS5697,COA,COA02,no limite: modelo 1.01x o total medido,5.815,5.766,-0.049,8.7335,8.23,3,100.9,True,False,False,,,13.8,2409,949.29,9,True,0,OK,0.921,0.984,57,63.8
CELESCDIS5697,IAL,IAL01,a investigar,5.518,4.062,-1.456,37.6822,36.1514,6059,135.8,True,False,False,,,24.2,1744,571.08,6,True,0,OK,0.875,0.933,5744,44.3
CELESCDIS5697,CDI,CDI06,medida quase sem perda: 2.69% total medido,5.513,2.691,-2.822,0.5546,0.5397,227,204.9,True,False,False,,,24.2,2186,1372.94,5,True,0,OK,0.626,0.646,13334,10.7
CELESCDIS5697,MFA,MFA07,a investigar,5.436,4.003,-1.433,18.8819,18.126,3270,135.8,True,False,False,,,34.5,5138,2405.39,11,True,0,OK,0.289,0.989,3708,56.4
CELESCDIS5697,MFA,MFA02,medida quase sem perda: 2.64% total medido,5.306,2.638,-2.668,11.2448,10.9481,3523,201.1,True,False,False,,,34.5,5138,2405.39,11,True,0,OK,0.289,0.989,3708,56.4
CELESCDIS5697,EMO,EMO01,a investigar,5.111,3.77,-1.341,30.8199,29.658,2,135.6,True,False,False,,,13.2,308,150.13,3,True,0,OK,0.885,0.99,225,29.6
CELESCDIS5697,CZL,CZL05,medida quase sem perda: 2.30% total medido,5.095,2.297,-2.798,33.3124,32.5471,9146,221.8,True,False,False,,,23,3409,1515.71,6,True,0,OK,0.603,0.68,19470,12.6
CELESCDIS5697,GRM,GRM13,a investigar,5.018,3.638,-1.38,23.9265,23.0561,4532,137.9,True,False,False,,,34.5,2590,948.07,11,True,0,OK,0.546,0.982,668,4.1
CELESCDIS5697,IIA,IIA04,medida quase sem perda: 2.14% total medido,4.776,2.137,-2.639,50.8939,49.8065,10443,223.5,True,False,False,,,24,1536,360.97,7,True,0,OK,0.89,0.913,8445,48.7
CELESCDIS5697,IAL,IAL04,no limite: modelo 1.07x o total medido,4.58,4.282,-0.298,68.6615,65.7214,12575,107.0,True,False,False,,,24.2,1744,571.08,6,True,0,OK,0.875,0.933,5744,44.3
CELESCDIS5697,AGA,AGA08,medida quase sem perda: 2.73% total medido,4.164,2.732,-1.432,26.9778,26.2409,4788,152.4,True,False,False,,,13.8,1628,509.89,9,True,0,OK,0.936,0.976,0,48.4
CELESCDIS5697,PRE,PRE01,no limite: modelo 1.12x o total medido,3.807,3.398,-0.409,54.0264,52.1907,6515,112.0,True,False,False,,,24.2,992,300.41,5,True,0,OK,0.926,0.942,1300,62.9
CELESCDIS5697,JSC,JSC04,no limite: modelo 1.13x o total medido,3.723,3.287,-0.436,22.6861,21.9404,5733,113.3,True,False,False,,,13.8,925,222.66,6,True,0,OK,0.941,0.969,0,44.7
CELESCDIS5697,VRC,VRC06,medida quase sem perda: 2.57% total medido,3.687,2.573,-1.114,7.4049,7.2144,2148,143.3,True,False,False,,,24.2,1307,679.77,5,True,0,OK,0.981,1.007,0,47.6
CELESCDIS5697,TBO,TBO05,medida quase sem perda: 2.25% total medido,3.685,2.245,-1.44,53.2314,52.0363,7283,164.1,True,False,False,,,23,2715,921.47,9,True,0,OK,0.643,0.973,2830,27.8
CELESCDIS5697,PRA,PRA02,medida quase sem perda: 2.22% total medido,3.556,2.218,-1.338,38.6944,37.8362,2314,160.3,True,False,False,,,13.8,590,240.51,10,True,0,OK,0.913,0.971,353,20.0
CELESCDIS5697,CIS,CIS04,medida quase sem perda: 2.50% total medido,3.438,2.501,-0.937,13.6489,13.3076,2391,137.5,True,False,False,,,13.8,4088,1764.92,9,True,0,OK,0.794,0.987,563,58.5
CELESCDIS5697,CCO,CCO06,no limite: modelo 1.08x o total medido,3.284,3.034,-0.25,30.5466,29.6198,8501,108.2,True,False,False,,,23,1208,286.37,8,True,0,OK,0.928,0.96,6,57.4
CELESCDIS5697,GPR,GPR02,medida quase sem perda: 2.18% total medido,3.264,2.182,-1.082,34.9462,34.1837,4547,149.6,True,False,False,,,23,1717,463.09,10,True,0,OK,0.808,0.945,4101,31.8
CELESCDIS5697,COA,COA07,no limite: modelo 1.08x o total medido,3.07,2.84,-0.23,23.7929,23.1173,6682,108.1,True,False,False,,,13.8,2409,949.29,9,True,0,OK,0.921,0.984,57,63.8
CELESCDIS5697,CDS,CDS06,medida quase sem perda: 2.40% total medido,2.954,2.405,-0.549,24.3229,23.738,380,122.8,True,False,False,,,23,3407,1956.56,7,True,0,OK,0.941,0.977,0,24.9
CELESCDIS5697,CCI,CCI11,medida quase sem perda: 2.41% total medido,2.929,2.414,-0.515,23.7044,23.1322,4747,121.4,True,False,False,,,24.2,3308,1116.76,14,True,0,OK,0.88,0.98,3190,21.2
CELESCDIS5697,ICO,ICO05,medida quase sem perda: 2.35% total medido,2.892,2.352,-0.54,10.901,10.6446,1920,122.9,True,False,False,,,13.8,621,60.81,12,True,0,OK,0.968,0.98,0,81.2
CELESCDIS5697,RSL,RSL07,no limite: modelo 1.17x o total medido,2.889,2.478,-0.411,37.7089,36.7745,1286,116.6,True,False,False,,,23,1070,447.8,6,True,0,OK,0.924,0.982,138,49.3
CELESCDIS5697,MRA,MRA02,no limite: modelo 1.11x o total medido,2.847,2.565,-0.282,49.377,48.1105,3052,111.0,True,False,False,,,24.2,1896,728.94,6,True,0,OK,0.889,0.949,3035,42.0
CELESCDIS5697,GPR,GPR03,medida quase sem perda: 2.19% total medido,2.792,2.195,-0.597,43.055,42.1101,1677,127.2,True,False,False,,,23,1717,463.09,10,True,0,OK,0.808,0.945,4101,31.8
CELESCDIS5697,IAA,IAA03,medida quase sem perda: 2.19% total medido,2.639,2.189,-0.45,32.4294,31.7195,3606,120.6,True,False,False,,,24,3485,1537.54,8,True,0,OK,0.949,0.969,0,88.5
CELESCDIS5697,BFA,BFA03,no limite: modelo 1.14x o total medido,2.599,2.282,-0.317,43.1227,42.1387,3716,113.9,True,False,False,,,23,946,219.93,5,True,0,OK,0.943,0.953,0,67.7
CELESCDIS5697,GPR,GPR08,medida quase sem perda: 2.08% total medido,2.563,2.079,-0.484,59.5143,58.2772,7943,123.3,True,False,False,,,23,1717,463.09,10,True,0,OK,0.808,0.945,4101,31.8
CELESCDIS5697,PRA,PRA09,no limite: modelo 1.12x o total medido,2.539,2.265,-0.274,50.8778,49.7256,33,112.1,True,False,False,,,13.8,590,240.51,10,True,0,OK,0.913,0.971,353,20.0
CELESCDIS5697,GRM,GRM11,no limite: modelo 1.01x o total medido,2.221,2.189,-0.032,9.9704,9.7522,1972,101.5,True,False,False,,,34.5,2590,948.07,11,True,0,OK,0.546,0.982,668,4.1
