base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
CMIG,1726728,URAQ408,perda modelada absurda: 52.4%,52.354,6.819,-45.535,16.9324,15.7777,184,767.7,True,False,False,,,13.8,518,755.66,3,True,0,OK,0.239,0.926,3583,6.5,7547,533
CMIG,1726831,PZL06,perda modelada absurda: 42.5%,42.528,13.338,-29.19,7.316,6.3401,3971,318.8,True,False,False,,,13.8,1942,1488.41,4,True,0,OK,0.037,1.002,1023,82.3,16576,135
CMIG,463584534,LFAD203,denominador minusculo: 0.073 GWh injetados,34.627,19.884,-14.743,0.0734,0.0588,6,174.1,True,False,False,,,13.8,2066,1109.18,4,True,0,OK,0.809,0.994,4894,79.8,14663,125
CMIG,1726626,BRL06,perda modelada absurda: 34.4%,34.352,13.654,-20.698,4.7467,4.0986,4265,251.6,True,False,False,,,13.8,3614,1760.37,3,True,0,OK,0.311,0.992,3468,81.2,20849,180
CMIG,1726561,CITU10,perda modelada absurda: 31.0%,30.97,8.807,-22.163,9.1411,8.3361,5024,351.7,True,False,False,,,13.8,3132,2337.33,5,True,0,OK,0.726,1.02,5029,76.4,27670,7957
CMIG,1726721,CRM12,medida quase sem perda: 2.27% total medido,23.706,2.27,-21.436,33.8868,33.1176,10,1044.4,True,False,False,,,13.8,2321,818.56,5,True,0,OK,0.033,0.989,2626,29.5,11747,376
CMIG,1726516,AAY16,no limite: modelo 1.07x o total medido,18.367,17.128,-1.239,7.3317,6.0759,4575,107.2,True,False,False,,,13.8,1543,1024.32,3,True,0,OK,0.165,0.785,7559,73.9,11380,162
CMIG,1726809,NERU12,no limite: modelo 1.17x o total medido,18.12,15.518,-2.602,21.9265,18.524,12759,116.8,True,False,False,,,13.8,3655,1761.98,3,True,0,OK,0.716,0.982,10296,64.0,23345,216
CMIG,1726698,CMN02,no limite: modelo 1.08x o total medido,17.715,16.336,-1.379,2.7159,2.2722,848,108.4,True,False,False,,,13.8,2824,2089.33,5,True,0,OK,0.355,0.908,10825,54.5,19306,149
CMIG,1726756,GHE16,no limite: modelo 1.05x o total medido,17.077,16.337,-0.74,14.2913,11.9566,9005,104.5,True,False,False,,,13.8,5320,2965.65,5,True,0,OK,0.106,0.965,21216,46.1,35258,279
CMIG,1726536,BIID203,perda modelada absurda: 16.7%,16.692,5.27,-11.422,12.8162,12.1409,982,316.8,True,False,False,,,34.5,1357,1559.14,3,True,0,OK,0.037,0.999,6557,83.1,17176,400
CMIG,1726645,JQU04,perda modelada absurda: 16.2%,16.157,12.496,-3.661,6.1812,5.4088,1068,129.3,True,False,False,,,13.8,2987,1872.61,3,True,0,OK,0.065,0.968,1363,88.6,20872,9843
CMIG,1726837,RSS07,perda modelada absurda: 16.0%,16.002,11.431,-4.571,14.5893,12.9216,8199,140.0,True,False,False,,,13.8,3753,1594.97,3,True,0,OK,0.835,0.975,6533,77.2,19356,151
CMIG,1726698,CMN04,perda modelada absurda: 16.0%,15.988,10.54,-5.448,15.1244,13.5302,5954,151.7,True,False,False,,,13.8,2824,2089.33,5,True,0,OK,0.355,0.908,10825,54.5,19306,149
CMIG,1726831,PZL05,no limite: modelo 1.09x o total medido,15.319,14.069,-1.25,4.6394,3.9867,1480,108.9,True,False,False,,,13.8,1942,1488.41,4,True,0,OK,0.037,1.002,1023,82.3,16576,135
CMIG,1726632,JNUQ410,perda modelada absurda: 15.0%,15.023,11.904,-3.119,16.019,14.112,11507,126.2,True,False,False,,,13.8,2097,1104.35,2,True,0,OK,0.549,0.712,11493,65.4,13862,119
CMIG,1726518,BCAD205,a investigar,14.782,11.752,-3.03,11.5455,10.1887,7075,125.8,True,False,False,,,13.8,10155,4207.52,8,True,0,OK,0.636,0.817,43072,61.8,54340,458
CMIG,1726864,UHDR03,no limite: modelo 1.14x o total medido,14.451,12.643,-1.808,6.4123,5.6016,4215,114.3,True,False,False,,,13.8,1794,1007.54,3,True,0,OK,0.821,1.01,3823,87.4,10585,4644
CMIG,1726862,TOTU14,a investigar,14.095,10.884,-3.211,15.217,13.5607,8236,129.5,True,False,False,,,13.8,8231,4381.68,8,True,0,OK,0.807,0.998,11370,69.5,50970,622
CMIG,1726518,BCAD212,a investigar,13.728,5.208,-8.52,11.9645,11.3414,6775,263.6,True,False,False,,,13.8,10155,4207.52,8,True,0,OK,0.636,0.817,43072,61.8,54340,458
CMIG,1726523,AYN10,a investigar,13.42,9.392,-4.028,7.0712,6.4071,1991,142.9,True,False,False,,,13.8,2844,1928.95,3,True,0,OK,0.393,0.926,11697,90.9,22680,120
CMIG,1726872,YAN07,a investigar,13.351,3.143,-10.208,24.8835,24.1013,7727,424.7,True,False,False,,,13.8,6884,3143.02,6,True,0,OK,0.044,0.96,16305,77.4,38992,335
CMIG,1726855,SUI06,a investigar,13.344,9.936,-3.408,7.4652,6.7234,4954,134.3,True,False,False,,,13.8,4388,2287.57,4,True,0,OK,0.791,0.875,18758,77.5,27266,231
CMIG,1726750,SFID208,no limite: modelo 1.06x o total medido,12.838,12.136,-0.702,4.7603,4.1826,3378,105.8,True,False,False,,,13.8,1125,1012.31,2,True,0,OK,0.17,1.032,31,96.7,10777,3355
CMIG,1726746,ENC13,no limite: modelo 1.09x o total medido,12.334,11.297,-1.037,19.1739,17.0078,9140,109.2,True,False,False,,,13.8,5409,2419.67,4,True,0,OK,0.162,0.909,21394,79.7,31384,355
