base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
ENERGISA_M6585,27335466,31661395,denominador minusculo: 0.430 GWh injetados,18.657,12.091,-6.566,0.43,0.378,87,154.3,True,False,False,,,22,2289,1143.98,7,True,0,OK,0.056,1.025,1529,97.2
ENERGISA_M6585,27335466,31661405,perda modelada absurda: 18.5%,18.496,9.361,-9.135,7.8374,7.1038,3685,197.6,True,False,False,2.965530965506697,6.236994391606271,22,2289,1143.98,7,True,0,OK,0.056,1.025,1529,97.2
ENERGISA_M6585,27335495,31661463,perda modelada absurda: 18.0%,17.96,9.496,-8.464,5.0426,4.5638,2644,189.1,True,False,False,6.2473543179571545,2.874816936247152,11.4,2313,645.42,4,True,0,OK,0.046,1.013,697,93.8
ENERGISA_M6585,27335486,31661352,perda modelada absurda: 17.7%,17.721,9.476,-8.245,4.2451,3.8428,2227,187.0,True,False,False,4.821126798884289,3.675696728014085,11.4,1602,706.18,5,True,0,OK,0.374,1.022,126,98.2
ENERGISA_M6585,27335495,31661465,a investigar,14.791,8.55,-6.241,5.2121,4.7665,2171,173.0,True,False,False,6.551381249304984,2.2576918419408325,11.4,2313,645.42,4,True,0,OK,0.046,1.013,697,93.8
ENERGISA_M6585,27335485,31661417,a investigar,12.775,5.509,-7.266,2.8514,2.6943,1588,231.9,True,False,False,3.013603231795549,4.2391114613944945,11.4,1184,640.37,3,True,0,OK,0.589,1.013,1,97.9
ENERGISA_M6585,27335474,31661297,a investigar,11.71,5.237,-6.473,12.9377,12.2601,4324,223.6,True,False,False,10.651215797953203,1.0994050089803138,11.4,2397,786.32,4,True,0,OK,0.585,1.003,10,96.3
ENERGISA_M6585,27335442,31661431,a investigar,11.608,7.638,-3.97,0.8797,0.8125,411,152.0,True,False,False,2.384750359634199,4.867595450024619,11.4,2799,1211.4,6,True,0,OK,0.019,1.015,1785,79.7
ENERGISA_M6585,27335466,31661401,a investigar,9.87,6.941,-2.929,4.7848,4.4527,2554,142.2,True,False,False,4.939892463994436,1.9980192022275398,22,2289,1143.98,7,True,0,OK,0.056,1.025,1529,97.2
ENERGISA_M6585,27335462,27117504,a investigar,9.629,4.096,-5.533,1.9604,1.8801,486,235.1,True,False,False,2.624985405113497,3.6682108712843178,11.4,433,219.81,4,True,0,OK,0.997,1.009,0,95.0
ENERGISA_M6585,27335476,31661330,a investigar,8.109,6.031,-2.078,5.4408,5.1126,2676,134.4,True,False,False,5.289958330711903,1.5329043242026297,11.4,1248,414.94,3,True,0,OK,0.026,1.014,453,98.4
ENERGISA_M6585,27335463,31661282,no limite: modelo 1.03x o total medido,7.692,7.497,-0.195,4.2985,3.9763,2182,102.6,True,False,False,5.879307585672224,1.308317329534736,11.4,1355,690.38,6,True,0,OK,0.658,1.012,6,90.8
ENERGISA_M6585,27335497,31661373,a investigar,7.551,5.795,-1.756,10.3373,9.7383,4817,130.3,True,False,False,11.706731736134277,0.6450134990872733,11.4,2379,671.63,7,True,0,OK,0.055,1.016,8,92.4
ENERGISA_M6585,27335471,31661460,a investigar,6.993,3.476,-3.517,5.8956,5.6907,3586,201.2,True,False,False,2.2265757142769913,3.140697149960046,11.4,3025,1055.73,4,True,0,OK,0.591,1.016,1,95.9
ENERGISA_M6585,27335474,31661299,no limite: modelo 1.13x o total medido,5.752,5.077,-0.675,5.1599,4.8979,2278,113.3,True,False,False,3.6742343895136873,1.565496206887694,11.4,2397,786.32,4,True,0,OK,0.585,1.003,10,96.3
ENERGISA_M6585,27335495,31661464,medida quase sem perda: 2.82% total medido,5.585,2.82,-2.765,4.0368,3.923,919,198.0,True,False,False,1.7764503217156982,3.14391003887235,11.4,2313,645.42,4,True,0,OK,0.046,1.013,697,93.8
ENERGISA_M6585,27335441,31661293,a investigar,5.081,3.48,-1.601,18.2451,17.6103,4358,146.0,True,False,False,4.724319993808758,1.075498697518092,11.4,1612,610.67,5,True,0,OK,0.309,1.001,2,69.7
ENERGISA_M6585,27335476,31661329,no limite: modelo 1.05x o total medido,3.077,2.933,-0.144,5.5783,5.4147,2647,104.9,True,False,False,1.0458913910396157,2.9419880748243497,11.4,1248,414.94,3,True,0,OK,0.026,1.014,453,98.4
ENERGISA_M6585,27335465,31661454,no limite: modelo 1.08x o total medido,3.039,2.811,-0.228,8.0394,7.8134,4496,108.1,True,False,False,5.845284558133519,0.5199062543108073,11.4,1544,607.17,6,True,0,OK,0.019,0.995,1,84.3
ENERGISA_M6585,27335496,31661355,no limite: modelo 1.06x o total medido,2.75,2.591,-0.159,12.2873,11.9689,7021,106.1,True,False,False,5.531291521618221,0.49717140910979624,11.4,2422,696.33,4,True,0,OK,0.052,1.006,790,97.4
ENERGISA_M6585,27335475,31661512,medida quase sem perda: 2.10% total medido,2.73,2.1,-0.63,15.1781,14.8594,8285,130.0,True,False,False,0.8505216777492689,3.209794731187081,11.4,1431,382.82,5,True,0,OK,0.011,1.003,198,84.9
ENERGISA_M6585,27335511,27117507,medida quase sem perda: 2.12% total medido,2.657,2.124,-0.533,6.5368,6.398,2763,125.1,True,False,False,,,11.4,1195,284.98,13,True,0,OK,0.911,1.005,411,96.0
