base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
ENERGISA_R369,77455187,77457940,perda modelada absurda: 951.7%,951.687,27.798,-923.889,38.2258,27.5998,8800,3423.6,True,False,False,,,34.5,3695,1568.9,4,True,0,OK,0.022,1.008,927,93.0,19253,25995
ENERGISA_R369,91183090,92226815,perda modelada absurda: 272.3%,272.27,15.641,-256.629,5.8982,4.9757,1396,1740.8,True,False,False,10.324635825450123,26.370905918914563,13.8,6684,3421.51,7,True,0,OK,0.015,1.0,1953,53.4,34476,17080
ENERGISA_R369,1270945,15677416,perda modelada absurda: 47.2%,47.209,14.318,-32.891,25.4616,21.8161,3422,329.7,True,False,False,1.2880031320428695,36.652861181418864,13.8,741,85.08,8,True,0,OK,1.007,1.015,0,81.0,4007,2110
ENERGISA_R369,91183090,92226820,perda modelada absurda: 23.0%,22.957,14.878,-8.079,1.9845,1.6893,685,154.3,True,False,False,6.1351842191031185,3.741859931201219,13.8,6684,3421.51,7,True,0,OK,0.015,1.0,1953,53.4,34476,17080
ENERGISA_R369,71190227,63998054,a investigar,6.593,4.403,-2.19,2.0911,1.999,806,149.7,True,False,False,,,13.8,3695,1428.94,4,True,0,OK,0.021,1.008,1079,95.4,17011,41
ENERGISA_R369,19194181,38204583,a investigar,5.279,4.155,-1.124,20.3877,19.5405,3744,127.0,True,False,False,7.238152884848562,0.7293297176756786,34.5,6070,3157.84,11,True,0,OK,0.013,1.006,3011,81.7,37968,5555
ENERGISA_R369,19491603,16973530,medida quase sem perda: 2.29% total medido,4.582,2.294,-2.288,11.9519,11.6778,2442,199.8,True,False,False,0.7126403318123071,6.4296108365738585,34.5,5611,2354.13,9,True,0,OK,0.057,0.994,97,82.6,31592,14201
ENERGISA_R369,10498830,61460022,no limite: modelo 1.11x o total medido,4.229,3.802,-0.427,5.4914,5.2826,1885,111.2,True,False,False,,,23.9,809,490.5,1,True,0,OK,0.033,1.026,62,98.9,4637,8
ENERGISA_R369,19348764,20298600,a investigar,4.153,3.376,-0.777,9.5204,9.1989,13,123.0,True,False,False,8.372704579096526,0.4960165452831656,13.8,1290,596.5,3,True,0,OK,0.377,1.012,427,74.6,7441,12
ENERGISA_R369,19194181,38204584,no limite: modelo 1.05x o total medido,3.349,3.186,-0.163,47.6916,46.172,8595,105.1,True,False,False,0.5666739040125486,5.909924519703733,34.5,6070,3157.84,11,True,0,OK,0.013,1.006,3011,81.7,37968,5555
ENERGISA_R369,63849323,76914130,no limite: modelo 1.19x o total medido,3.315,2.78,-0.535,12.2268,11.8869,2349,119.2,True,False,False,1.4478864735435946,2.2895441462940003,13.8,1298,1125.01,3,True,0,OK,0.382,0.998,979,84.0,10354,14
ENERGISA_R369,19778164,200856251,medida quase sem perda: 2.07% total medido,2.637,2.071,-0.566,10.4746,10.2576,2362,127.3,True,False,False,,,13.8,1977,1118.07,5,True,0,OK,0.057,1.011,684,91.5,12613,1132
