base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
EQUATORIAL37,URI,URI09F7,perda modelada absurda: 129621.1%,129621.143,5.578,-129615.565,15.0511,14.2115,5853,2323668.8,True,False,False,,,34.5,664,840.81,4,True,0,OK,0.762,0.999,2214,84.6
EQUATORIAL37,BCP,BCP09N1,perda modelada absurda: 5778.3%,5778.258,15.659,-5762.599,26.0955,22.0092,9880,36900.1,True,False,False,,,13.8,4231,3386.48,7,True,0,OK,0.17,1.022,734,86.8
EQUATORIAL37,FTN,FTN09F1,perda modelada absurda: 393.0%,393.039,27.497,-365.542,6.1851,4.4844,2491,1429.4,True,False,False,,,34.5,5007,3622.98,6,True,0,OK,0.085,1.051,548,98.5
EQUATORIAL37,SBN,SBN01C1,perda modelada absurda: 179.1%,179.093,26.232,-152.861,6.9605,5.1346,3641,682.7,True,False,False,,,34.5,1796,1491.08,5,True,0,OK,0.94,1.031,0,86.5
EQUATORIAL37,IPS,IPS01C4,no limite: modelo 1.07x o total medido,107.269,99.974,-7.295,13.8209,0.0036,1,107.3,True,False,False,,,13.8,349,70.09,8,True,0,OK,0.999,1.007,0,86.9
EQUATORIAL37,CXS,CXS09L4,perda modelada absurda: 80.9%,80.876,9.287,-71.589,8.6307,7.8292,4540,870.9,True,False,False,,,13.8,4103,3134.67,13,True,0,OK,0.141,1.017,4066,82.7
EQUATORIAL37,IPA,IPA09L3,perda modelada absurda: 80.6%,80.616,18.613,-62.003,26.4712,21.5442,8642,433.1,True,False,False,,,34.5,2891,1754.07,12,True,0,OK,0.953,0.995,0,93.2
EQUATORIAL37,PDT,PDT09L1,perda modelada absurda: 78.2%,78.206,16.146,-62.06,31.5461,26.4528,12285,484.4,True,False,False,,,34.5,3502,2650.17,8,True,0,OK,0.054,1.013,3263,93.4
EQUATORIAL37,MNS,MNS09F2,perda modelada absurda: 69.2%,69.234,26.295,-42.939,29.2343,21.5471,10582,263.3,True,False,False,,,34.5,838,656.38,3,True,0,OK,0.85,0.956,1896,84.0
EQUATORIAL37,GJU,GJU09F2,perda modelada absurda: 67.4%,67.4,6.83,-60.57,26.2846,24.4894,10497,986.8,True,False,False,,,34.5,4305,3708.43,8,True,0,OK,0.244,1.048,1305,89.3
EQUATORIAL37,PDT,PDT09L3,perda modelada absurda: 62.3%,62.339,12.787,-49.552,24.7446,21.5806,11717,487.5,True,False,False,,,34.5,3502,2650.17,8,True,0,OK,0.054,1.013,3263,93.4
EQUATORIAL37,BDC,BDC09F3,perda modelada absurda: 55.1%,55.12,35.286,-19.834,11.5293,7.461,4363,156.2,True,False,False,,,34.5,3627,3045.64,10,True,0,OK,0.979,1.036,0,92.1
