base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
NEOENERGIA385,TUP01,TUP01_AL011,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.37],3097409.867,14.095,-3097395.772,12.1973,10.478,3054,21974648.9,True,False,False,,,13.8,1926,1141.79,7,True,0,TENSAO_IMPLAUSIVEL[C-API:0.37],0.056,0.3,13468,38.5
NEOENERGIA385,TUP01,TUP01_AL010,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.37],924839.175,11.949,-924827.226,13.434,11.8288,3826,7739946.1,True,False,False,,,13.8,1926,1141.79,7,True,0,TENSAO_IMPLAUSIVEL[C-API:0.37],0.056,0.3,13468,38.5
NEOENERGIA385,ANG01,ANG01_AL008,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.49],308126.369,11.91,-308114.459,15.6933,13.8242,399,2587053.5,True,False,False,,,34.5,2268,1039.37,7,True,0,TENSAO_IMPLAUSIVEL[C-API:0.49],0.061,0.477,11832,6.0
NEOENERGIA385,ATI03,ATI03_AL027,perda modelada absurda: 267045.0%,267044.967,12.512,-267032.455,41.1718,36.0203,1860,2134289.8,True,False,False,,,13.8,1534,432.66,8,True,0,OK,0.059,0.574,13201,6.2
NEOENERGIA385,RIC02,RIC02_AL042,modelo quebrado na SE: NAO_CONVERGE[C-API:500],254085.81,72.201,-254013.609,46.2253,12.8502,3414,351915.2,True,False,False,,,34.5,2309,994.31,14,False,0,NAO_CONVERGE[C-API:500],0.759,0.965,4848,32.2
NEOENERGIA385,GUA02,GUA02_AL030,perda modelada absurda: 252786.1%,252786.103,27.208,-252758.895,20.1972,14.7019,1090,929075.1,True,False,False,,,13.8,1083,188.3,13,True,0,OK,0.061,0.886,6955,9.2
NEOENERGIA385,TRL01,TRL01_AL007,modelo quebrado na SE: NAO_CONVERGE[C-API:500],224024.282,88.277,-223936.005,78.3712,9.1871,1049,253773.1,True,False,False,,,34.5,4879,6512.62,13,False,0,NAO_CONVERGE[C-API:500],0.515,0.909,18973,17.3
NEOENERGIA385,LEM01,LEM01_AL013,perda modelada absurda: 197725.0%,197724.972,11.563,-197713.409,24.4507,21.6234,192,1709943.3,True,False,False,,,13.8,2014,702.51,10,True,0,OK,0.059,0.693,17064,10.4
NEOENERGIA385,UBA02,UBA02_AL013,perda modelada absurda: 150325.7%,150325.698,14.989,-150310.709,16.5146,14.0393,3821,1002931.8,True,False,False,,,13.8,701,169.02,6,True,0,OK,0.061,0.876,4808,9.1
NEOENERGIA385,CEL01,CEL01_AL011,perda modelada absurda: 116392.4%,116392.358,11.017,-116381.341,19.906,17.713,6215,1056478.7,True,False,False,,,13.8,2568,824.4,6,True,0,OK,0.06,0.524,11986,13.0
NEOENERGIA385,CJO01,CJO01_AL020,perda modelada absurda: 63156.1%,63156.136,13.69,-63142.446,17.4574,15.0674,5638,461330.9,True,False,False,,,13.8,3404,1083.9,10,True,0,OK,0.062,0.719,22055,9.0
NEOENERGIA385,BER04,BER04_AL044,perda modelada absurda: 47317.4%,47317.376,18.593,-47298.783,2.1497,1.75,460,254493.8,True,False,False,,,13.8,276,46.57,6,True,0,OK,0.364,0.887,1939,23.6
NEOENERGIA385,CST01,CST01_AL004,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.38],44078.427,8.764,-44069.663,27.5875,25.1698,7187,502957.0,True,False,False,,,13.8,1114,593.09,5,True,0,TENSAO_IMPLAUSIVEL[C-API:0.38],0.062,0.383,4674,6.8
NEOENERGIA385,CAN01,CAN01_AL006,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.39],43647.68,10.554,-43637.126,2.1748,1.9453,896,413558.6,True,False,False,,,13.8,537,271.1,4,True,0,TENSAO_IMPLAUSIVEL[C-API:0.39],0.147,0.359,4917,8.5
NEOENERGIA385,ITN02,ITN02_AL022,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.26],39008.595,12.553,-38996.042,11.8456,10.3586,1776,310739.9,True,False,False,,,13.8,456,237.5,3,True,0,TENSAO_IMPLAUSIVEL[C-API:0.26],0.083,0.261,4837,9.7
NEOENERGIA385,FRR01,FRR01_AL009,perda modelada absurda: 33108.4%,33108.398,17.34,-33091.058,23.6576,19.5554,6503,190936.7,True,False,False,,,13.8,1286,309.02,12,True,0,OK,0.074,0.74,11214,10.9
NEOENERGIA385,MIR01,MIR01_AL012,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.48],31399.931,11.522,-31388.409,6.8584,6.0682,1367,272531.5,True,False,False,,,13.8,2528,1364.55,8,True,0,TENSAO_IMPLAUSIVEL[C-API:0.48],0.062,0.363,16309,6.3
NEOENERGIA385,CJO01,CJO01_AL024,perda modelada absurda: 29024.9%,29024.942,12.787,-29012.155,12.8706,11.2249,3813,226991.3,True,False,False,,,13.8,3404,1083.9,10,True,0,OK,0.062,0.719,22055,9.0
NEOENERGIA385,PET00,PET00_AL003,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.37],27668.698,9.631,-27659.067,7.8958,7.1354,1950,287296.5,True,False,False,,,13.8,1161,452.87,3,True,0,TENSAO_IMPLAUSIVEL[C-API:0.37],0.063,0.365,5848,10.3
NEOENERGIA385,AMC01,AMC01_AL004,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.48],27568.524,76.191,-27492.333,7.9535,1.8937,324,36183.7,True,False,False,,,13.8,1121,599.89,4,True,0,TENSAO_IMPLAUSIVEL[C-API:0.48],0.06,0.482,8488,10.8
