base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
SP,DBRG,BRG0210,perda modelada absurda: 138.4%,138.407,74.761,-63.646,0.5927,0.1496,2,185.1,True,False,False,,,21,308,84.61,12,True,0,OK,0.98,0.988,0,87.6
SP,DCAL,CAL0105,no limite: modelo 1.09x o total medido,26.304,24.235,-2.069,19.4679,14.7499,2056,108.5,True,False,False,,,13.8,678,70.31,17,True,0,OK,1.033,1.056,0,85.8
SP,DCAL,CAL0115,perda modelada absurda: 25.2%,25.177,12.581,-12.596,11.5901,10.132,1818,200.1,True,False,False,,,13.8,678,70.31,17,True,0,OK,1.033,1.056,0,85.8
SP,DESP,ESP0102,perda modelada absurda: 24.5%,24.499,20.345,-4.154,57.4886,45.7926,10160,120.4,True,False,False,,,13.8,870,167.86,12,True,0,OK,0.949,1.034,0,59.8
SP,DPRE,PRE0108,perda modelada absurda: 23.1%,23.094,10.445,-12.649,2.5594,2.2921,915,221.1,True,False,False,,,13.8,1987,597.35,13,True,0,OK,1.047,1.073,15827,77.6
SP,DAGU,AGU0109,perda modelada absurda: 19.9%,19.914,12.755,-7.159,14.9848,13.0735,1723,156.1,True,False,False,,,13.8,303,38.98,10,True,0,OK,1.05,1.063,470,82.7
SP,SSJO,MRE0225,perda modelada absurda: 18.9%,18.882,5.942,-12.94,27.7683,26.1183,5791,317.8,True,False,False,,,3.8,176,23.65,2,True,0,OK,0.814,0.894,1458,34.6
SP,DCAM,CAM0011,perda modelada absurda: 17.8%,17.776,10.978,-6.798,13.428,11.9539,4335,161.9,True,False,False,,,34.5,545,91.6,21,True,0,OK,1.023,1.078,4859,70.4
SP,DBUT,BUT0108,perda modelada absurda: 17.8%,17.763,7.112,-10.651,17.693,16.4347,1887,249.8,True,False,False,,,13.8,1146,118.05,16,True,0,OK,0.979,1.051,0,50.9
SP,DGVI,GVI0106,perda modelada absurda: 15.7%,15.715,11.555,-4.16,47.0247,41.5907,15521,136.0,True,False,False,,,13.8,1899,291.15,12,True,0,OK,0.899,0.932,8113,45.0
SP,TBAN,BAN0203,perda modelada absurda: 15.2%,15.236,9.37,-5.866,1.2537,1.1362,36,162.6,True,False,False,,,34.5,1139,380.35,38,True,0,OK,0.266,0.976,7,56.5
SP,DBUT,BUT0102,a investigar,14.609,10.519,-4.09,52.411,46.8977,2314,138.9,True,False,False,,,13.8,1146,118.05,16,True,0,OK,0.979,1.051,0,50.9
SP,DMAU,MAU0105,a investigar,14.064,9.741,-4.323,30.7213,27.7286,8827,144.4,True,False,False,,,13.8,1531,216.44,16,True,0,OK,1.016,1.041,0,68.8
SP,DJCI,JCI0104,no limite: modelo 1.09x o total medido,13.844,12.654,-1.19,17.09,14.9274,4309,109.4,True,False,False,,,13.8,871,88.59,10,True,0,OK,1.034,1.057,0,76.9
SP,DSAB,SAB0102,no limite: modelo 1.14x o total medido,13.616,11.912,-1.704,15.8773,13.986,4095,114.3,True,False,False,,,13.8,803,102.79,16,True,0,OK,1.044,1.055,0,72.1
SP,DTTI,TTI0110,a investigar,13.315,9.033,-4.282,26.3521,23.9717,5669,147.4,True,False,False,,,13.8,684,66.08,16,True,0,OK,1.036,1.059,0,81.9
SP,DTSE,TSE0108,a investigar,13.079,8.148,-4.931,32.6124,29.9553,11094,160.5,True,False,False,,,13.8,2287,244.29,16,True,0,OK,0.937,0.972,0,54.4
SP,DTTI,TTI0102,no limite: modelo 1.12x o total medido,13.024,11.657,-1.367,13.5043,11.9302,3599,111.7,True,False,False,,,13.8,684,66.08,16,True,0,OK,1.036,1.059,0,81.9
