base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
CELESCDIS5697,BND,BND01,perda modelada absurda: 367.2%,367.223,10.493,-356.73,36.0158,32.2368,5794,3499.8,True,False,False,,,23,2940,1066.85,11,True,0,OK,0.852,0.985,2957,56.7,21321,18
CELESCDIS5697,BQB,BQB07,no limite: modelo 1.01x o total medido,17.315,17.209,-0.106,53.4224,44.2292,6879,100.6,True,False,False,,,13.8,1439,400.44,9,True,0,OK,0.24,0.976,537,29.3,10678,19
CELESCDIS5697,IBA,IBA10,a investigar,12.255,3.407,-8.848,36.5005,35.2569,5046,359.7,True,False,False,,,34.5,2268,747.08,11,True,0,OK,0.521,0.971,1418,42.7,19807,177
CELESCDIS5697,CIS,CIS08,no limite: modelo 1.06x o total medido,9.782,9.255,-0.527,33.3425,30.2565,4345,105.7,True,False,False,,,13.8,4135,1780.03,9,True,0,OK,0.784,0.987,549,57.4,28082,25
CELESCDIS5697,PCS,PCS03,a investigar,8.738,4.98,-3.758,45.9376,43.6498,6161,175.5,True,False,False,,,13.8,2074,494.18,9,True,0,OK,0.849,0.944,3744,32.6,14015,11
CELESCDIS5697,IBA,IBA08,no limite: modelo 1.03x o total medido,8.637,8.381,-0.256,34.297,31.4224,7600,103.0,True,False,False,,,34.5,2268,747.08,11,True,0,OK,0.521,0.971,1418,42.7,19807,177
CELESCDIS5697,BRB,BRB12,a investigar,8.237,6.125,-2.112,102.3075,96.0415,927,134.5,True,False,False,,,24.2,1869,561.4,8,True,0,OK,0.866,0.946,3708,33.7,13585,35
CELESCDIS5697,RSL,RSL05,a investigar,8.016,6.06,-1.956,28.4672,26.742,4411,132.3,True,False,False,,,23,1088,450.36,6,True,0,OK,0.918,0.981,432,46.6,8170,9
CELESCDIS5697,TJS,TJS01,no limite: modelo 1.08x o total medido,7.544,6.989,-0.555,46.2544,43.0216,8378,107.9,True,False,False,,,24.2,2799,937.89,10,True,0,OK,0.908,0.957,2763,19.8,22769,16
CELESCDIS5697,JVQ,JVQ03,no limite: modelo 1.06x o total medido,7.286,6.903,-0.383,36.46,33.9432,7499,105.5,True,False,False,,,13.8,843,153.02,11,True,0,OK,0.728,0.962,2,41.7,5887,11
