base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
COPELDIS2866,72988,835760012,denominador minusculo: 0.001 GWh injetados,6511.42,7.231,-6504.189,0.0011,0.0011,1,90048.1,True,False,False,,,36,2045,1294.14,16,True,0,OK,0.716,0.921,11938,18.1,13559,1055
COPELDIS2866,72091,805280011,perda modelada absurda: 485.7%,485.664,99.985,-385.679,8.4269,0.0012,2,485.7,True,False,False,,,34.5,1324,1402.2,8,True,0,OK,0.891,0.983,841,85.9,15536,1072
COPELDIS2866,72043,891440028,denominador minusculo: 0.077 GWh injetados,420.462,40.922,-379.54,0.0767,0.0453,1,1027.5,True,False,False,,,34.5,1162,1071.75,2,True,0,OK,0.065,1.001,2675,77.0,13279,4661
COPELDIS2866,72194,813320041,perda modelada absurda: 244.2%,244.247,17.149,-227.098,51.716,42.8471,5942,1424.2,True,False,False,,,34.5,2789,2154.15,11,True,0,OK,0.024,0.48,18203,13.1,31254,8495
COPELDIS2866,71780,866960032,perda modelada absurda: 156.6%,156.625,99.999,-56.626,53.2419,0.0006,1,156.6,True,False,False,,,34.5,1332,710.98,12,True,0,OK,0.02,0.996,293,41.5,11088,782
COPELDIS2866,74699,870200009,perda modelada absurda: 85.2%,85.229,16.028,-69.201,16.329,13.7118,3979,531.8,True,False,False,,,34.5,1367,1673.75,12,True,0,OK,0.928,0.951,231,68.3,31251,21492
COPELDIS2866,74881,883160015,denominador minusculo: 0.116 GWh injetados,64.313,45.004,-19.309,0.116,0.0638,58,142.9,True,False,False,,,34.5,819,995.49,2,True,0,OK,0.081,0.985,1061,65.4,16111,11780
COPELDIS2866,74881,883160019,perda modelada absurda: 45.6%,45.643,5.798,-39.845,30.705,28.9248,10528,787.2,True,False,False,,,34.5,819,995.49,2,True,0,OK,0.081,0.985,1061,65.4,16111,11780
COPELDIS2866,72868,889160009,perda modelada absurda: 31.2%,31.213,11.127,-20.086,7.491,6.6575,3391,280.5,True,False,False,,,34.5,2660,2792.87,10,True,0,OK,0.905,0.988,1350,88.5,33468,18965
COPELDIS2866,72826,894320029,perda modelada absurda: 29.4%,29.433,19.162,-10.271,1.546,1.2498,643,153.6,True,False,False,,,34.5,3833,1690.9,13,True,0,OK,0.923,0.984,2,83.8,25214,581
COPELDIS2866,72500,832160031,denominador minusculo: 0.167 GWh injetados,24.99,4.988,-20.002,0.1665,0.1582,3,501.0,True,False,False,,,34.5,1256,374.49,13,True,0,OK,0.99,0.992,0,94.2,12499,8799
COPELDIS2866,72863,879440005,denominador minusculo: 0.024 GWh injetados,21.509,9.702,-11.807,0.024,0.0217,6,221.7,True,False,False,,,34.5,2296,1000.9,9,True,0,OK,0.946,0.96,0,89.3,13620,354
COPELDIS2866,72646,854000007,denominador minusculo: 0.104 GWh injetados,20.296,14.74,-5.556,0.104,0.0887,30,137.7,True,False,False,,,34.5,1737,608.45,7,True,0,OK,0.947,0.99,0,77.7,11831,2884
COPELDIS2866,72300,820400015,perda modelada absurda: 17.4%,17.351,4.054,-13.297,8.225,7.8915,1459,428.0,True,False,False,,,34.5,1548,1859.78,12,True,0,OK,0.892,0.981,892,64.9,25115,12143
COPELDIS2866,72360,821600010,perda modelada absurda: 17.3%,17.282,9.019,-8.263,16.848,15.3284,4408,191.6,True,False,False,,,34.5,1897,2364.52,12,True,0,OK,0.016,0.974,3,75.5,31424,18126
