base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
CPFL_SANTA69,KCC,KCC09,perda modelada absurda: 267.4%,267.443,22.868,-244.575,62.1322,47.9238,11484,1169.5,True,False,False,,,13.8,3551,1377.52,4,True,0,OK,0.013,0.899,10981,90.8,21561,10
CPFL_SANTA69,SAB,SAB21,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.07],104.288,19.577,-84.711,80.8294,65.0057,12714,532.7,True,False,False,,,33,1592,758.69,2,True,0,TENSAO_IMPLAUSIVEL[C-API:0.07],0.069,0.07,3114,88.4,15931,3
CPFL_SANTA69,AVN,AVN22,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.05],100.62,16.313,-84.307,49.3758,41.3211,4779,616.8,True,False,False,,,34.5,933,503.93,2,True,0,TENSAO_IMPLAUSIVEL[C-API:0.05],0.018,0.051,8453,7.9,9747,9
CPFL_SANTA69,ITS,ITS35,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.16],84.745,15.284,-69.461,45.0461,38.1611,7441,554.5,True,False,False,,,36,2317,1133.5,3,True,0,TENSAO_IMPLAUSIVEL[C-API:0.16],0.026,0.143,5860,12.2,20167,9
CPFL_SANTA69,SJS,SJS34,perda modelada absurda: 51.8%,51.814,19.852,-31.962,25.0386,20.068,5006,261.0,True,False,False,,,34.5,3282,1280.07,14,True,0,OK,0.018,0.901,13259,56.4,23987,44
CPFL_SANTA69,CHP,CHP12,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.05],50.645,29.135,-21.51,88.0943,62.428,17813,173.8,True,False,False,,,34.5,5872,2598.58,8,True,0,TENSAO_IMPLAUSIVEL[C-API:0.05],0.01,0.038,12819,46.1,45953,17
CPFL_SANTA69,CHP,CHP14,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.05],48.774,7.059,-41.715,107.749,100.1432,12585,691.0,True,False,False,,,34.5,5872,2598.58,8,True,0,TENSAO_IMPLAUSIVEL[C-API:0.05],0.01,0.038,12819,46.1,45953,17
CPFL_SANTA69,STA,STA31,perda modelada absurda: 45.3%,45.292,22.515,-22.777,8.207,6.3591,2029,201.2,True,False,False,,,11.4,1218,557.49,9,True,0,OK,0.067,0.991,3193,70.9,12599,26
CPFL_SANTA69,JGA,JGA03,perda modelada absurda: 43.2%,43.164,17.977,-25.187,43.2509,35.4755,9305,240.1,True,False,False,,,34.5,602,171.2,8,True,0,OK,0.074,0.97,1563,47.5,5212,20
CPFL_SANTA69,ULI,ULI41,perda modelada absurda: 32.1%,32.138,7.934,-24.204,11.4857,10.5745,596,405.1,True,False,False,,,34.5,896,598.13,7,True,0,OK,0.082,0.983,2174,76.9,9723,14
CPFL_SANTA69,KIT,KIT11,medida quase sem perda: 2.30% total medido,4.137,2.298,-1.839,23.802,23.255,6251,180.0,True,False,False,,,11.4,740,131.99,7,True,0,OK,0.973,0.996,0,72.1,5095,9
CPFL_SANTA69,SJS,SJS05,no limite: modelo 1.05x o total medido,4.029,3.823,-0.206,27.7658,26.7044,3107,105.4,True,False,False,,,34.5,3282,1280.07,14,True,0,OK,0.018,0.901,13259,56.4,23987,44
CPFL_SANTA69,SJS,SJS09,no limite: modelo 1.00x o total medido,3.677,3.671,-0.006,43.4666,41.871,1371,100.2,True,False,False,,,34.5,3282,1280.07,14,True,0,OK,0.018,0.901,13259,56.4,23987,44
CPFL_SANTA69,JAC,JAC07,medida quase sem perda: 2.35% total medido,3.437,2.346,-1.091,11.3416,11.0755,2438,146.5,True,False,False,,,13.8,543,178.6,12,True,0,OK,0.942,0.967,1,72.9,5252,27
