base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
ENERGISA_M6585,27335495,31661463,perda modelada absurda: 16.6%,16.63,3.277,-13.353,5.5722,5.3896,2913,507.5,True,False,False,7.0229291115818455,2.367957832946751,11.4,2338,632.52,4,True,0,OK,0.05,1.015,723,96.4,8493,44
ENERGISA_M6585,27335462,27117506,medida quase sem perda: 2.26% total medido,13.85,2.263,-11.587,0.8006,0.7825,488,612.1,True,False,False,,,11.4,439,218.36,4,True,0,OK,0.999,1.01,0,95.0,2687,2
ENERGISA_M6585,27335471,31661459,a investigar,13.279,10.665,-2.614,3.4245,3.0593,1969,124.5,True,False,False,1.550349791233279,8.565163858561727,11.4,1546,508.91,4,True,0,OK,1.02,1.025,0,97.5,6958,3231
ENERGISA_M6585,27335471,31661457,no limite: modelo 1.09x o total medido,12.337,11.335,-1.002,3.4857,3.0906,1595,108.8,True,False,False,2.6609224607509074,4.636362081936999,11.4,1546,508.91,4,True,0,OK,1.02,1.025,0,97.5,6958,3231
ENERGISA_M6585,27335493,214450972,no limite: modelo 1.03x o total medido,9.615,9.297,-0.318,6.5609,5.951,3304,103.4,True,False,False,9.018523778386726,1.0661390085861673,11.4,1574,545.72,3,True,0,OK,0.093,1.023,655,98.3,6371,3
ENERGISA_M6585,27335443,31661430,medida quase sem perda: 2.33% total medido,8.2,2.329,-5.871,10.7635,10.5128,5012,352.0,True,False,False,,,11.4,1412,604.39,3,True,0,OK,0.591,1.027,5,97.3,7666,2539
ENERGISA_M6585,27335479,31661318,a investigar,6.942,5.558,-1.384,5.7901,5.4683,3384,124.9,True,False,False,7.169730622205002,0.9682372136130598,11.4,2346,858.65,4,True,0,OK,0.017,1.011,294,96.4,11499,3
ENERGISA_M6585,121399968,122250180,a investigar,6.634,4.437,-2.197,7.9198,7.5685,4188,149.5,True,False,False,6.722719734743372,0.9868029996424121,11.4,1820,447.1,4,True,0,OK,0.453,1.012,770,92.6,7285,50
ENERGISA_M6585,27335483,31661387,no limite: modelo 1.09x o total medido,4.539,4.149,-0.39,7.2198,6.9203,2759,109.4,True,False,False,5.073165946787819,0.8947075746406368,11.4,940,231.4,6,True,0,OK,1.003,1.019,0,89.5,5587,49
ENERGISA_M6585,27335480,31661420,medida quase sem perda: 2.10% total medido,3.515,2.105,-1.41,11.2956,11.0578,4936,167.0,True,False,False,6.34616327872183,0.5538779646255729,11.4,1108,352.98,4,True,0,OK,0.199,1.005,946,96.0,5753,2
