base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
ENERGISA_P6600,12873485,51696883,perda modelada absurda: 125.7%,125.65,4.553,-121.097,5.678,5.4195,3237,2759.5,True,False,False,3.0961253682603465,40.582981970978885,13.8,386,256.64,4,True,0,OK,0.769,0.99,240,71.0,4491,11
ENERGISA_P6600,12873477,51696822,perda modelada absurda: 108.0%,108.046,11.306,-96.74,0.864,0.7663,1,955.7,True,False,False,,,13.8,581,308.36,6,True,0,OK,0.79,1.001,8,63.2,5527,3
ENERGISA_P6600,12873458,26260915,medida quase sem perda: 2.99% total medido,9.776,2.99,-6.786,19.0806,18.51,12611,326.9,True,False,False,3.030107313008595,3.2262883753425236,13.8,1960,1002.71,7,True,0,OK,0.299,1.008,1068,85.2,13567,9
ENERGISA_P6600,12873429,17067359,no limite: modelo 1.16x o total medido,8.217,7.081,-1.136,4.9674,4.6157,2009,116.0,True,False,False,2.3401934623371465,3.5112481648392007,13.8,1591,894.57,6,True,0,OK,0.06,0.993,509,82.7,10910,4
ENERGISA_P6600,58561573,184385059,no limite: modelo 1.14x o total medido,6.143,5.376,-0.767,8.8332,8.3583,5994,114.3,True,False,False,3.2287377472238314,1.902601103258368,13.8,718,444.57,3,True,0,OK,0.983,0.998,0,90.8,5769,0
ENERGISA_P6600,12873414,51696838,medida quase sem perda: 2.56% total medido,3.529,2.565,-0.964,13.3001,12.9588,1794,137.6,True,False,False,,,13.8,786,73.23,8,True,0,OK,1.003,1.007,0,92.8,3988,16
ENERGISA_P6600,613174620,613174645,medida quase sem perda: 2.13% total medido,2.975,2.13,-0.845,25.4456,24.9036,14923,139.7,True,False,False,1.9027045646476453,1.5635638108383523,13.8,1389,477.87,6,True,0,OK,0.801,0.992,436,84.2,9589,16
ENERGISA_P6600,12873451,26260919,no limite: modelo 1.04x o total medido,2.561,2.468,-0.093,2.5077,2.4458,1674,103.8,True,False,False,,,13.8,1655,1296.72,4,True,0,OK,0.356,1.013,269,82.3,13638,0
ENERGISA_P6600,613174618,613174637,no limite: modelo 1.09x o total medido,2.391,2.187,-0.204,26.4858,25.9065,5936,109.3,True,False,False,0.9456986912567483,2.5282894246396563,13.8,969,283.09,7,True,0,OK,0.45,1.009,2,91.5,6370,10
ENERGISA_P6600,12873488,51696892,no limite: modelo 1.12x o total medido,2.251,2.002,-0.249,49.7194,48.724,13127,112.4,True,False,False,1.3941795662714012,1.6145696397057965,13.8,925,145.15,8,True,0,OK,0.966,0.989,0,84.0,6003,10
