base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
EQUATORIAL37,URI,URI09F7,perda modelada absurda: 22200.9%,22200.911,13.31,-22187.601,18.8113,16.3075,6648,166794.1,True,False,False,,,34.5,694,862.47,4,True,0,OK,0.069,1.0,27,98.3,9018,2426
EQUATORIAL37,BCP,BCP09N1,perda modelada absurda: 1143.1%,1143.109,14.729,-1128.38,26.3634,22.4803,11857,7760.8,True,False,False,,,13.8,4241,3387.04,7,True,0,OK,1.023,1.035,0,91.6,38268,34675
EQUATORIAL37,PDT,PDT09L3,perda modelada absurda: 91.4%,91.38,28.079,-63.301,31.6169,22.7392,14686,325.4,True,False,False,,,34.5,3638,2719.19,8,True,0,OK,0.071,1.031,3378,93.9,34641,13322
EQUATORIAL37,FTN,FTN09F1,perda modelada absurda: 72.4%,72.399,18.631,-53.768,5.8052,4.7237,2849,388.6,True,False,False,,,34.5,5055,3636.11,6,True,0,OK,0.064,1.032,377,98.1,40613,28897
EQUATORIAL37,CGR,CGR09F3,perda modelada absurda: 62.7%,62.692,31.196,-31.496,5.3966,3.713,466,201.0,True,False,False,,,34.5,388,841.07,4,True,0,OK,1.034,1.044,0,92.9,8366,3547
EQUATORIAL37,BDC,BDC09F3,perda modelada absurda: 51.6%,51.558,32.415,-19.143,12.0126,8.1187,5846,159.1,True,False,False,,,34.5,3749,3113.35,10,True,0,OK,1.003,1.037,0,93.4,39589,27436
EQUATORIAL37,SBN,SBN09F2,perda modelada absurda: 37.1%,37.066,13.568,-23.498,24.4611,21.1422,15894,273.2,True,False,False,,,34.5,1816,1480.58,5,True,0,OK,0.25,1.02,395,83.5,20301,11365
EQUATORIAL37,MNS,MNS09F2,perda modelada absurda: 35.9%,35.915,8.859,-27.056,24.3251,22.1702,14219,405.4,True,False,False,,,34.5,842,660.93,3,True,0,OK,0.767,0.979,1982,34.5,9171,12
EQUATORIAL37,FTN,FTN09F2,perda modelada absurda: 25.3%,25.322,6.247,-19.075,6.0087,5.6334,3240,405.4,True,False,False,,,34.5,5055,3636.11,6,True,0,OK,0.064,1.032,377,98.1,40613,28897
EQUATORIAL37,FTN,FTN09F4,no limite: modelo 1.19x o total medido,19.89,16.706,-3.184,18.2997,15.2426,8058,119.1,True,False,False,,,34.5,5055,3636.11,6,True,0,OK,0.064,1.032,377,98.1,40613,28897
