base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
LT,1186,CCD1288,denominador minusculo: 0.029 GWh injetados,819.136,98.767,-720.369,0.0292,0.0004,1,829.4,True,False,False,,,25,1448,310.01,36,True,0,OK,0.959,1.027,0,52.1,15964,31
LT,10385934,BFG00001,perda modelada absurda: 589.7%,589.736,96.176,-493.56,0.5201,0.0199,1,613.2,True,False,False,,,13.8,364,112.98,29,True,0,OK,0.979,1.035,0,93.3,15477,4
LT,10385988,ITP38335,perda modelada absurda: 155.6%,155.553,66.458,-89.095,0.8263,0.2772,27,234.1,True,False,False,,,13.8,1067,245.95,20,True,0,OK,0.897,0.942,5084,64.9,20054,6
LT,457474244,GDN0022,perda modelada absurda: 121.4%,121.433,67.564,-53.869,9.9087,3.214,77,179.7,True,False,False,,,13.8,518,124.09,24,True,0,OK,0.883,0.964,2481,74.5,8013,0
LT,10385970,SAT2645,perda modelada absurda: 98.5%,98.495,8.497,-89.998,4.7691,4.3639,51,1159.2,True,False,False,,,13.8,479,171.45,66,True,0,OK,0.955,0.991,0,95.3,22198,21
LT,10386015,CMR2642,perda modelada absurda: 50.7%,50.667,26.712,-23.955,0.9323,0.6833,34,189.7,True,False,False,,,13.8,460,134.95,54,True,0,OK,0.98,1.038,2,93.7,16028,12
LT,345834478,BRR0003,perda modelada absurda: 50.2%,50.153,14.011,-36.142,19.3315,16.623,1199,358.0,True,False,False,,,13.8,478,169.01,25,True,0,OK,0.956,1.026,0,85.5,14300,6
LT,345834478,BRR24810,perda modelada absurda: 47.9%,47.861,21.635,-26.226,6.6094,5.1795,239,221.2,True,False,False,,,13.8,478,169.01,25,True,0,OK,0.956,1.026,0,85.5,14300,6
LT,10385988,ITP33143,denominador minusculo: 0.037 GWh injetados,43.874,13.679,-30.195,0.0368,0.0318,1,320.7,True,False,False,,,13.8,1067,245.95,20,True,0,OK,0.897,0.942,5084,64.9,20054,6
LT,10385970,SAT2752,perda modelada absurda: 40.7%,40.726,19.524,-21.202,2.1159,1.7028,10,208.6,True,False,False,,,13.8,479,171.45,66,True,0,OK,0.955,0.991,0,95.3,22198,21
LT,55813421,LBN00012,perda modelada absurda: 36.4%,36.429,8.582,-27.847,5.6274,5.1445,323,424.5,True,False,False,,,13.8,401,107.0,36,True,0,OK,0.973,0.979,0,93.2,17409,8
LT,10385970,SAT2514,perda modelada absurda: 26.7%,26.661,15.969,-10.692,2.9296,2.4618,79,167.0,True,False,False,,,13.8,479,171.45,66,True,0,OK,0.955,0.991,0,95.3,22198,21
LT,10385961,BPD9612,perda modelada absurda: 26.4%,26.434,15.109,-11.325,5.4552,4.631,289,175.0,True,False,False,,,13.8,566,209.16,39,True,0,OK,0.965,0.975,0,90.0,21839,18
LT,10385970,SAT9540,perda modelada absurda: 24.7%,24.651,13.533,-11.118,4.2662,3.6888,183,182.2,True,False,False,,,13.8,479,171.45,66,True,0,OK,0.955,0.991,0,95.3,22198,21
LT,457474244,GDN000,perda modelada absurda: 23.8%,23.803,16.904,-6.899,2.0394,1.6946,270,140.8,True,False,False,,,13.8,518,124.09,24,True,0,OK,0.883,0.964,2481,74.5,8013,0
LT,10386015,CMR2990,perda modelada absurda: 22.3%,22.257,5.314,-16.943,7.9453,7.5231,733,418.8,True,False,False,,,13.8,460,134.95,54,True,0,OK,0.98,1.038,2,93.7,16028,12
LT,10386069,SLZ4500,no limite: modelo 1.10x o total medido,21.017,19.025,-1.992,3.1956,2.5876,9,110.5,True,False,False,,,13.8,271,85.67,31,True,0,OK,0.972,0.985,0,91.7,11584,21
LT,132097219,REC00008,perda modelada absurda: 20.2%,20.234,13.941,-6.293,27.4673,23.6379,5535,145.1,True,False,False,,,13.8,1360,262.44,23,True,0,OK,0.79,0.904,12590,60.3,16817,5
LT,345834478,BRR37101,perda modelada absurda: 20.0%,19.985,12.682,-7.303,7.3483,6.4164,485,157.6,True,False,False,,,13.8,478,169.01,25,True,0,OK,0.956,1.026,0,85.5,14300,6
LT,345834478,BRR37090,perda modelada absurda: 19.4%,19.386,10.491,-8.895,15.5354,13.9057,660,184.8,True,False,False,,,13.8,478,169.01,25,True,0,OK,0.956,1.026,0,85.5,14300,6
LT,10386015,CMR2760,perda modelada absurda: 18.7%,18.723,5.221,-13.502,9.1002,8.6251,326,358.6,True,False,False,,,13.8,460,134.95,54,True,0,OK,0.98,1.038,2,93.7,16028,12
LT,10385934,BFG3607,perda modelada absurda: 18.5%,18.506,9.846,-8.66,7.0449,6.3513,370,188.0,True,False,False,,,13.8,364,112.98,29,True,0,OK,0.979,1.035,0,93.3,15477,4
