base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
NEOENERGIA40,JQI,2188,perda modelada absurda: 266.2%,266.243,20.303,-245.94,50.3536,40.1303,8301,1311.3,True,False,False,,,13.8,811,147.54,8,True,0,OK,0.754,0.928,2212,39.7,4353,80
NEOENERGIA40,SPG,1903,perda modelada absurda: 51.3%,51.254,19.945,-31.309,7.8615,6.2935,4229,257.0,True,False,False,,,13.8,2376,1485.27,6,True,0,OK,0.143,0.918,9727,9.2,16390,55
NEOENERGIA40,LGS,2337,perda modelada absurda: 38.6%,38.608,14.833,-23.775,16.752,14.2673,7276,260.3,True,False,False,,,13.8,1727,824.6,5,True,0,OK,0.739,0.891,6908,32.1,10817,22
NEOENERGIA40,SRV,1856,modelo quebrado na SE: NAO_CONVERGE[C-API:500],36.855,16.04,-20.815,11.9946,10.0706,4403,229.8,True,False,False,,,13.8,938,746.3,5,False,0,NAO_CONVERGE[C-API:500],0.771,0.861,8814,15.2,10742,48
NEOENERGIA40,SMG,1832,perda modelada absurda: 35.3%,35.343,15.951,-19.392,13.1865,11.0831,4338,221.6,True,False,False,,,13.8,1512,1332.17,3,True,0,OK,0.165,0.645,11274,6.9,14001,305
NEOENERGIA40,STU,2309,perda modelada absurda: 33.2%,33.229,18.15,-15.079,13.9629,11.4287,9205,183.1,True,False,False,,,13.8,2859,1494.6,13,True,0,OK,0.666,0.908,13020,34.9,19207,51
NEOENERGIA40,VCR,2174,perda modelada absurda: 30.7%,30.71,21.477,-9.233,9.1337,7.172,3229,143.0,True,False,False,,,13.8,570,298.29,3,True,0,OK,0.95,0.955,1548,1.9,4590,20
NEOENERGIA40,DSR,1895,perda modelada absurda: 29.9%,29.861,18.507,-11.354,31.634,25.7796,7660,161.4,True,False,False,,,13.8,1611,1074.21,5,True,0,OK,0.704,0.926,7335,14.8,13321,65
NEOENERGIA40,SRV,1854,modelo quebrado na SE: NAO_CONVERGE[C-API:500],29.447,7.707,-21.74,22.5406,20.8034,4634,382.1,True,False,False,,,13.8,938,746.3,5,False,0,NAO_CONVERGE[C-API:500],0.771,0.861,8814,15.2,10742,48
NEOENERGIA40,LTS,2329,perda modelada absurda: 28.5%,28.458,7.641,-20.817,16.9777,15.6804,5456,372.4,True,False,False,,,13.8,532,161.96,4,True,0,OK,0.888,0.978,695,24.2,3828,29
NEOENERGIA40,JDR,2298,perda modelada absurda: 27.7%,27.725,10.946,-16.779,5.2056,4.6358,794,253.3,True,False,False,,,13.8,466,429.78,5,True,0,OK,0.854,0.951,1918,22.6,4885,11
NEOENERGIA40,CGR,1801,medida quase sem perda: 2.04% total medido,26.687,2.045,-24.642,14.4181,14.1233,6992,1305.1,True,False,False,,,13.8,700,424.25,5,True,0,OK,0.792,0.876,4918,16.3,6420,40
NEOENERGIA40,IAJ,2287,medida quase sem perda: 2.80% total medido,24.736,2.798,-21.938,7.0723,6.8743,3595,883.9,True,False,False,,,13.8,828,466.44,4,True,0,OK,0.828,0.924,3416,20.6,6204,19
NEOENERGIA40,APD,1844,perda modelada absurda: 23.6%,23.636,11.177,-12.459,9.0158,8.0081,3629,211.5,True,False,False,,,13.8,2260,1181.71,6,True,0,OK,0.64,0.979,5060,27.9,15900,65
NEOENERGIA40,NCR,1820,perda modelada absurda: 23.2%,23.166,4.4,-18.766,11.1535,10.6627,6375,526.5,True,False,False,,,13.8,749,374.84,4,True,0,OK,0.731,0.952,1824,30.0,5541,15
NEOENERGIA40,STU,2314,perda modelada absurda: 22.9%,22.932,14.157,-8.775,5.8494,5.0213,4723,162.0,True,False,False,,,13.8,2859,1494.6,13,True,0,OK,0.666,0.908,13020,34.9,19207,51
NEOENERGIA40,SBN,2336,perda modelada absurda: 22.7%,22.66,8.517,-14.143,7.2628,6.6442,1127,266.1,True,False,False,,,13.8,343,319.97,5,True,0,OK,0.675,0.958,1040,26.8,4451,29
NEOENERGIA40,STU,2312,perda modelada absurda: 22.6%,22.601,17.355,-5.246,12.2246,10.103,8194,130.2,True,False,False,,,13.8,2859,1494.6,13,True,0,OK,0.666,0.908,13020,34.9,19207,51
NEOENERGIA40,BRO,2183,perda modelada absurda: 21.6%,21.633,7.82,-13.813,41.7665,38.5005,5381,276.6,True,False,False,,,13.8,605,212.91,4,True,0,OK,0.668,0.948,1099,25.0,4270,45
NEOENERGIA40,SBN,1783,perda modelada absurda: 20.1%,20.147,13.688,-6.459,8.5827,7.4079,3892,147.2,True,False,False,,,13.8,343,319.97,5,True,0,OK,0.675,0.958,1040,26.8,4451,29
NEOENERGIA40,PLH,1825,perda modelada absurda: 20.1%,20.059,7.106,-12.953,9.7344,9.0427,4721,282.3,True,False,False,,,13.8,1223,687.54,5,True,0,OK,0.898,0.97,890,56.9,8277,41
NEOENERGIA40,ELS,2202,perda modelada absurda: 20.1%,20.054,12.323,-7.731,13.1197,11.503,7228,162.7,True,False,False,,,13.8,1262,730.2,4,True,0,OK,0.773,0.929,4693,28.1,9272,47
NEOENERGIA40,EST,1803,no limite: modelo 1.11x o total medido,19.784,17.772,-2.012,10.802,8.8823,2897,111.3,True,False,False,,,13.8,822,438.02,4,True,0,OK,0.758,0.834,3809,13.6,6157,30
NEOENERGIA40,GMR,2095,perda modelada absurda: 19.8%,19.764,9.88,-9.884,7.871,7.0933,3319,200.0,True,False,False,,,13.8,371,236.67,3,True,0,OK,0.868,0.934,1427,25.7,3323,17
NEOENERGIA40,ZBL,1919,no limite: modelo 1.15x o total medido,19.226,16.715,-2.511,2.1974,1.8301,1150,115.0,True,False,False,,,13.8,698,586.38,4,True,0,OK,0.844,0.95,2893,38.9,6955,29
NEOENERGIA40,GNA,1899,perda modelada absurda: 19.2%,19.18,3.774,-15.406,15.6095,15.0205,5410,508.3,True,False,False,,,13.8,784,372.98,6,True,0,OK,0.825,0.887,5628,16.6,6696,28
NEOENERGIA40,LTS,1920,no limite: modelo 1.00x o total medido,18.946,18.907,-0.039,16.7838,13.6105,6431,100.2,True,False,False,,,13.8,532,161.96,4,True,0,OK,0.888,0.978,695,24.2,3828,29
NEOENERGIA40,AAF,1769,perda modelada absurda: 18.6%,18.563,11.007,-7.556,4.4533,3.9632,2444,168.7,True,False,False,,,13.8,2212,1157.56,5,True,0,OK,0.877,0.968,595,42.5,14769,26
NEOENERGIA40,MCA,2353,perda modelada absurda: 18.5%,18.499,14.238,-4.261,2.3069,1.9784,1205,129.9,True,False,False,,,13.8,482,332.58,6,True,0,OK,0.636,0.943,1301,17.1,4828,29
NEOENERGIA40,MJS,2303,perda modelada absurda: 18.2%,18.22,7.236,-10.984,15.3767,14.2641,5950,251.8,True,False,False,,,13.8,664,339.86,5,True,0,OK,0.861,0.969,1538,27.9,4473,15
NEOENERGIA40,EXT,1901,perda modelada absurda: 18.1%,18.115,14.46,-3.655,35.0371,29.9709,15443,125.3,True,False,False,,,13.8,865,245.52,8,True,0,OK,0.798,0.954,2623,20.1,6369,53
NEOENERGIA40,DMA,1887,perda modelada absurda: 17.6%,17.564,13.7,-3.864,3.6959,3.1896,1232,128.2,True,False,False,,,13.8,782,417.4,5,True,0,OK,0.625,0.954,2528,23.0,6919,31
NEOENERGIA40,CGR,1802,perda modelada absurda: 16.9%,16.882,13.135,-3.747,22.9439,19.9303,4826,128.5,True,False,False,,,13.8,700,424.25,5,True,0,OK,0.792,0.876,4918,16.3,6420,40
NEOENERGIA40,BJN,1830,perda modelada absurda: 15.7%,15.687,12.889,-2.798,16.3074,14.2055,8066,121.7,True,False,False,,,13.8,975,452.89,4,True,0,OK,0.926,0.968,319,40.1,6860,30
